fs_code,ann_date,report_date,total_assets,total_liab,total_equity,current_assets,current_liab
002646.SZ,20251027,20250930,3290446396.620000,446819544.790000,0,1857620545.610000,408394540.870000
002646.SZ,20250820,20250630,3348709268.350000,477625115.540000,0,1911233501.640000,437557034.760000
002646.SZ,20250423,20250331,3352544320.850000,487869717.760000,0,1919242335.790000,445790344.740000
002646.SZ,20251027,20241231,3344517538.860000,549205018.580000,0,1894298697.010000,506380652.100000
002646.SZ,20241028,20240930,3304846505.230000,490577815.430000,0,1898466696.910000,451597858.850000
002646.SZ,20240819,20240630,3334608880.870000,493411051.640000,0,1929592759.030000,452309068.830000
002646.SZ,20240429,20240331,3460170550.030000,538491762.460000,0,2058594982.990000,495751726.300000
002646.SZ,20250423,20231231,3328186491.530000,524878215.320000,0,1920991145.170000,482106631.330000
002646.SZ,20231027,20230930,3299775516.340000,494035843.540000,0,1908151042.980000,444004564.670000
002646.SZ,20230824,20230630,3252722244.710000,456556298.450000,0,1863923410.220000,404027372.030000
002646.SZ,20230427,20230331,3228010517.650000,414638225.480000,0,1839925143.810000,364682197.230000
002646.SZ,20240419,20221231,3197589913.810000,461529024.410000,0,1791686030.780000,407317088.170000
002646.SZ,20221028,20220930,3152637866.190000,387256532.280000,0,1733122090.040000,330012090.910000
002646.SZ,20220826,20220630,3141944245.640000,373717391.600000,0,1724897651.280000,313760660.480000
002646.SZ,20220426,20220331,3196553642.610000,391563389.990000,0,1789998482.400000,336944522.890000
002646.SZ,20230427,20211231,3222623914.710000,526953133.970000,0,1795804959.000000,471606281.410000
002646.SZ,20211026,20210930,3020754503.880000,303440047.760000,0,1632494171.250000,283408581.890000
002646.SZ,20210827,20210630,2694333360.210000,391013957.880000,0,1291705651.250000,370380176.810000
002646.SZ,20210427,20210331,2701198069.460000,400933429.700000,0,1297831522.780000,380395409.270000
002646.SZ,20220426,20201231,2662221891.270000,432398095.540000,0,1256311793.440000,412015610.740000
