fs_code,ann_date,report_date,total_assets,total_liab,total_equity,current_assets,current_liab
600050.SH,20260320,20251231,671056308815.000100,294555241530.000000,0,169000750489.000000,261768656419.000000
600050.SH,20251023,20250930,671346506472.000000,291690666214.000000,0,174305527458.000000,259593883702.000000
600050.SH,20250813,20250630,665466524324.999900,286332773008.000000,0,165364146297.000000,253288690713.000000
600050.SH,20250418,20250331,667650178431.000100,293017747458.000000,0,161076632443.000000,259122478742.000000
600050.SH,20260320,20241231,672836701608.999900,304048390353.000000,0,158807525633.000000,265979677614.000000
600050.SH,20241023,20240930,671533602896.000000,302155424929.000000,0,179646528789.000000,263184043299.000000
600050.SH,20240816,20240630,668339156427.000100,300118727338.000000,0,173848244954.000000,260339388619.000000
600050.SH,20240420,20240331,665855421775.000100,301954601628.000000,0,165711425449.000000,259393055324.000000
600050.SH,20250319,20231231,662844796563.000100,304909723903.000000,0,158028414961.000000,260285598952.000000
600050.SH,20231025,20230930,665846210462.000000,306956846399.000000,0,172794810569.000000,262180694156.000000
600050.SH,20230810,20230630,660290421744.999900,302800916372.000000,0,169064416166.000000,258005611406.000000
600050.SH,20230419,20230331,651737443278.000000,299001645672.000000,0,159031780943.000000,252559532633.000000
600050.SH,20240320,20221231,644687027607.000100,297412554267.000000,0,146268902114.000000,247983987920.000000
600050.SH,20221029,20220930,616905658526.000000,269738202460.000000,0,155168465367.000000,246835993283.000000
600050.SH,20220809,20220630,605441750050.000000,259760582704.000000,0,145252377908.000000,237710650790.000000
600050.SH,20220422,20220331,589363245987.000100,248372067506.000000,0,129819188844.000000,226140150666.000000
600050.SH,20230309,20211231,593284479854.000000,257074127954.000000,0,126251860201.000000,235137836984.000000
600050.SH,20211022,20210930,590419857606.000000,253927497234.000000,0,132933139180.000000,231551624142.000000
600050.SH,20210820,20210630,572430646509.000000,237685093050.000000,0,120908248391.000000,214032770966.000000
600050.SH,20210422,20210331,569695401565.000000,234328031616.000000,0,107999644850.000000,203780247393.000000
600050.SH,20220312,20201231,582475430408.000000,251001474834.000000,0,108653656977.000000,222242002285.000000
600050.SH,20201022,20200930,572415109852.000000,242765316089.000000,0,111381472006.000000,212733630169.000000
600050.SH,20200813,20200630,570129086209.000000,242990129116.000000,0,103559968327.000000,212490392379.000000
600050.SH,20200423,20200331,565118013153.000000,239340032211.000000,0,96831649418.000000,206293946554.000000
600050.SH,20210312,20191231,564230618712.000000,240734699805.000000,0,83603850121.000000,206812709395.000000
600050.SH,20191022,20190930,570574852593.000000,248075283068.000000,0,87449110051.000000,214383107654.000000
600050.SH,20190815,20190630,566546628977.000000,247085739103.000000,0,81340213614.000000,212909765010.000000
600050.SH,20190424,20190331,568877396357.000000,248658072018.000000,0,81909725499.000000,214420472895.000000
600050.SH,20200324,20181231,541762283984.000000,224821990766.000000,0,75924546766.000000,213715729302.000000
600050.SH,20181023,20180930,550280079554.000000,235063830845.000000,0,89707714130.000000,213628999030.000000
600050.SH,20180816,20180630,552545018326.000000,240400886070.000000,0,83651886459.000000,219335706739.000000
600050.SH,20180421,20180331,574649584386.000000,263706588948.000000,0,93645157381.000000,236039825143.000000
600050.SH,20190314,20171231,573617337800.000000,266598974685.000000,0,76771466124.000000,241614197499.000000
600050.SH,20171028,20170930,590568027087.000100,355729902973.000000,0,99622747702.000000,319933903501.000000
600050.SH,20170817,20170630,598197570751.000100,365038339639.000000,0,95911553944.000000,328449759060.000000
600050.SH,20170422,20170331,602593580608.000000,370437813633.000000,0,84990320196.000000,326741773983.000000
600050.SH,20180316,20161231,615907352706.000000,385400383627.000000,0,82233887291.000000,341569319407.000000
600050.SH,20161022,20160930,597078104043.000100,365465241224.000000,0,65699167188.000000,317084086644.000000
600050.SH,20160818,20160630,600414109892.000000,369540798716.000000,0,62159530635.000000,326348480756.000000
600050.SH,20160422,20160331,601484496919.000100,367021863042.000000,0,59739509229.000000,320387545313.000000
600050.SH,20170316,20151231,615319383074.000000,381273007373.000000,0,59757742213.000000,338198489422.000000
600050.SH,20151023,20150930,561683974543.000000,328419740209.000000,0,66389745892.000000,293100756421.000000
600050.SH,20150822,20150630,540241893666.000000,307646025926.000000,0,56457511923.000000,274126055693.000000
600050.SH,20150424,20150331,542413742751.000000,308967870699.000000,0,62171543976.000000,283290118663.000000
600050.SH,20160317,20141231,547124568845.000000,316796647643.000000,0,56620654748.000000,291164002998.000000
