fs_code,ann_date,report_date,operate_cashflow,invest_cashflow,finance_cashflow
002398.SZ,20251028,20250930,226828296.120000,-329280631.210000,30533681.990000
002398.SZ,20250826,20250630,163051900.200000,-177133113.490000,16047580.760000
002398.SZ,20250429,20250331,79214375.700000,-109766257.500000,53403732.370000
002398.SZ,20250426,20241231,334123269.900000,-248906117.520000,-126526736.450000
002398.SZ,20251028,20240930,96426985.970000,-82714573.650000,-141687008.850000
002398.SZ,20250826,20240630,-74337047.430000,316937301.610000,-148013617.040000
002398.SZ,20250429,20240331,-22351316.680000,58201875.220000,-5692338.070000
002398.SZ,20250426,20231231,437322778.880000,-386295145.630000,-59471847.610000
002398.SZ,20241029,20230930,336963029.760000,-236951053.450000,-171761217.300000
002398.SZ,20240820,20230630,62014715.580000,40782053.390000,-122079554.630000
002398.SZ,20240429,20230331,-68815577.220000,58067769.930000,-10963341.390000
002398.SZ,20240416,20221231,419971902.560000,-411545977.180000,-66069599.160000
002398.SZ,20231028,20220930,161546447.270000,-377045386.380000,107162159.530000
002398.SZ,20230829,20220630,144125375.190000,-436543883.590000,233792035.800000
002398.SZ,20230428,20220331,-2492867.330000,-174054771.370000,64241646.510000
002398.SZ,20230328,20211231,321576270.710000,58782551.800000,-267670191.270000
002398.SZ,20221026,20210930,122486729.700000,-35372955.330000,-139749476.260000
002398.SZ,20220823,20210630,-136839530.070000,184987772.200000,-47357359.490000
002398.SZ,20220429,20210331,-110194005.010000,31658788.390000,95754114.580000
002398.SZ,20220429,20201231,322325108.680000,-90100105.540000,-105707179.900000
002398.SZ,20211028,20200930,145355680.270000,-82258778.140000,-86563836.530000
002398.SZ,20210824,20200630,-24575641.410000,37355293.500000,-7406922.760000
002398.SZ,20210428,20200331,-119566136.480000,91237370.660000,42109592.380000
002398.SZ,20210330,20191231,308300639.920000,-188841253.270000,-143489903.880000
002398.SZ,20201029,20190930,210573815.440000,-169531919.420000,-57862192.800000
002398.SZ,20200825,20190630,35878411.850000,20485003.220000,-36658273.630000
002398.SZ,20200425,20190331,-116900083.550000,83382033.320000,22028359.460000
002398.SZ,20200331,20181231,77893698.570000,106583313.850000,-118047117.630000
002398.SZ,20191022,20180930,74563416.730000,94734180.370000,-126110538.380000
002398.SZ,20190820,20180630,36971465.520000,138584012.670000,-112333261.250000
002398.SZ,20190423,20180331,27453756.960000,61896713.790000,-20356994.910000
002398.SZ,20190409,20171231,74700091.400000,-26461293.680000,-54512985.380000
002398.SZ,20181023,20170930,79333990.960000,-48166528.790000,-50709714.450000
002398.SZ,20180821,20170630,19839978.180000,51779242.150000,-25391976.630000
002398.SZ,20180428,20170331,-13675631.250000,4970825.110000,-2820441.370000
002398.SZ,20180403,20161231,288148123.780000,-310288300.540000,-36311998.770000
002398.SZ,20171021,20160930,205965540.900000,-230688080.630000,-35573858.490000
002398.SZ,20170815,20160630,109315158.970000,-98793381.060000,-35891710.060000
002398.SZ,20170425,20160331,-11254409.690000,-75899897.380000,14499864.280000
002398.SZ,20170328,20151231,206560704.520000,-307018990.790000,-1941933.970000
002398.SZ,20161025,20150930,121923096.480000,-276554369.460000,4268412.090000
002398.SZ,20160809,20150630,94009876.240000,-216727577.540000,14994623.080000
002398.SZ,20160426,20150331,11472921.980000,130603468.900000,22211520.360000
002398.SZ,20160329,20141231,85961197.340000,-133922998.000000,-29908741.630000
002398.SZ,20151027,20140930,43180609.400000,-25648510.170000,-19218978.090000
002398.SZ,20150728,20140630,7496619.470000,-152238056.810000,-5941096.970000
002398.SZ,20150428,20140331,-25133201.350000,-86975663.590000,6237937.860000
002398.SZ,20150331,20131231,77636364.930000,-192712641.570000,14371364.010000
002398.SZ,20141023,20130930,52718845.920000,-286937968.430000,8097379.580000
002398.SZ,20140812,20130630,7495654.640000,-227264638.750000,10216526.430000
002398.SZ,20140429,20130331,-15468135.580000,-38186082.960000,4410307.830000
002398.SZ,20140326,20121231,31448663.410000,346295.810000,-30071762.950000
002398.SZ,20131026,20120930,59120742.080000,-56791062.410000,-16913889.310000
002398.SZ,20130820,20120630,21645383.320000,-105414978.530000,-4231222.640000
002398.SZ,20130424,20120331,-14978622.400000,2622734.150000,3000000.000000
002398.SZ,20130328,20111231,27100788.860000,144563164.990000,13323359.310000
002398.SZ,20121026,20110930,-7420038.610000,167537557.690000,12244822.940000
002398.SZ,20120821,20110630,-13965118.490000,40430315.520000,4830119.540000
002398.SZ,20120426,20110331,-44773693.950000,88286983.310000,7644338.500000
002398.SZ,20120331,20101231,-6003674.040000,-536085923.030000,708463388.470000
002398.SZ,20111026,20100930,14762070.340000,-499159750.020000,698716170.080000
002398.SZ,20110823,20100630,13642279.600000,-41616838.230000,722537649.180000
002398.SZ,20110423,20100331,3526980.070000,-16601421.720000,-6044582.540000
002398.SZ,20110408,20091231,70004429.170000,-59274185.310000,-17626995.640000
002398.SZ,20101026,20090930,28890730.700000,-47346374.590000,-13089530.090000
002398.SZ,20100810,20090630,24477001.930000,-33245284.250000,-12670894.370000
002398.SZ,20100505,20090331,1394546.730000,-12852250.990000,-17290145.120000
002398.SZ,20100416,20081231,40567643.950000,-74454126.340000,46087303.220000
002398.SZ,20100416,20071231,65139989.360000,-39568850.890000,-17609094.310000
