fs_code,ann_date,report_date,operate_cashflow,invest_cashflow,finance_cashflow
601838.SH,20251029,20250930,57590457000.000000,-38404083000.000000,-12124459000.000000
601838.SH,20250827,20250630,49183294000.000000,-20975837000.000000,-11128776000.000000
601838.SH,20250429,20250331,64163207000.000000,-18477684000.000000,-19753369000.000000
601838.SH,20250429,20241231,-94226009000.000000,17071888000.000000,60888928000.000000
601838.SH,20251029,20240930,-19944982000.000000,40914586000.000000,14124222000.000000
601838.SH,20250827,20240630,-3529214000.000000,36084762000.000000,17226857000.000000
601838.SH,20250429,20240331,-975242000.000000,12947456000.000000,22069750000.000000
601838.SH,20250429,20231231,-23753784000.000000,-8125483000.000000,-4300268000.000000
601838.SH,20241030,20230930,-40704731000.000000,10629961000.000000,15573791000.000000
601838.SH,20240828,20230630,-34402388000.000000,5130980000.000000,12616621000.000000
601838.SH,20240425,20230331,-20587575000.000000,-7022894000.000000,-1492793000.000000
601838.SH,20240425,20221231,9692134000.000000,-22732318000.000000,42114546000.000000
601838.SH,20231027,20220930,-15826288000.000000,-12158060000.000000,43813455000.000000
601838.SH,20230830,20220630,6798367000.000000,6823122000.000000,18441855000.000000
601838.SH,20230426,20220331,-714887000.000000,-10701190000.000000,18417616000.000000
601838.SH,20230426,20211231,-3521263000.000000,12405620000.000000,8569010000.000000
601838.SH,20221029,20210930,27293970000.000000,-2901588000.000000,-15113765000.000000
601838.SH,20220830,20210630,21396292000.000000,-14809269000.000000,-1588897000.000000
601838.SH,20220428,20210331,-1629262000.000000,-5353031000.000000,16288093000.000000
601838.SH,20220428,20201231,-784806000.000000,-2856724000.000000,7038838000.000000
601838.SH,20211029,20200930,27399461000.000000,-16671757000.000000,-4033788000.000000
601838.SH,20210826,20200630,18420311000.000000,-9412027000.000000,648609000.000000
601838.SH,20210429,20200331,-1679437000.000000,-6054334000.000000,-4639941000.000000
601838.SH,20210429,20191231,23875633000.000000,-23064073000.000000,-10461129000.000000
601838.SH,20201029,20190930,-17813475000.000000,12368351000.000000,-10212679000.000000
601838.SH,20200828,20190630,-13562647000.000000,20407625000.000000,-6165148000.000000
601838.SH,20200429,20190331,3195968000.000000,-33009446000.000000,2381369000.000000
601838.SH,20200429,20181231,-11900081000.000000,-47171155000.000000,35758001000.000000
601838.SH,20191031,20180930,2628242000.000000,-68553331000.000000,19749153000.000000
601838.SH,20190828,20180630,2391914000.000000,-52004527000.000000,19501727000.000000
601838.SH,20190425,20180331,-24826437000.000000,-31783296000.000000,27036011000.000000
601838.SH,20190425,20171231,42607093000.000000,-39922958000.000000,15098001000.000000
601838.SH,20181031,20170930,43062592000.000000,-26666504000.000000,3556493000.000000
601838.SH,20180822,20170630,13613564000.000000,-5916182000.000000,319241000.000000
601838.SH,20180426,20170331,-12915300000.000000,-8482387000.000000,9902432000.000000
601838.SH,20180426,20161231,13346644000.000000,-43447451000.000000,3223255000.000000
601838.SH,20171219,20160930,30427182000.000000,-39919294000.000000,-7504026000.000000
601838.SH,20160429,20151231,8311630000.000000,-6803877000.000000,12806793000.000000
601838.SH,20150430,20141231,25172286000.000000,-18913480000.000000,4046796000.000000
601838.SH,20150807,20131231,2364259000.000000,-18018335000.000000,-712468000.000000
601838.SH,20150807,20121231,25217768000.000000,-10084666000.000000,-749953000.000000
601838.SH,20140630,20111231,677683000.000000,-7313614000.000000,1890994000.000000
601838.SH,20110523,20101231,34898282000.000000,-10662180000.000000,-340761000.000000
601838.SH,20110523,20100630,-4751996000.000000,-11780735000.000000,-178644000.000000
601838.SH,20110523,20091231,12185634000.000000,-1841309000.000000,-4000.000000
601838.SH,20110523,20081231,2970047000.000000,-608424000.000000,5254964000.000000
601838.SH,20110523,20071231,4021692000.000000,766545000.000000,744639000.000000
