fs_code,ann_date,report_date,revenue,revenue_yoy,net_profit,net_profit_yoy,gross_margin,roe
002115.SZ,20251028,20250930,7252057632.040000,0,15160878.410000,0,0,0
002115.SZ,20250827,20250630,4409927469.990000,0,9643400.410000,0,0,0
002115.SZ,20250428,20250331,2289745165.590000,0,5336654.390000,0,0,0
002115.SZ,20250428,20241231,10948916904.200000,0,-249464914.320000,0,0,0
002115.SZ,20251028,20240930,8521235454.130000,0,-2760564.490000,0,0,0
002115.SZ,20250827,20240630,5872639485.400000,0,15545122.840000,0,0,0
002115.SZ,20250428,20240331,2810839422.630000,0,22213127.290000,0,0,0
002115.SZ,20250428,20231231,12488921999.110000,0,68642700.180000,0,0,0
002115.SZ,20241031,20230930,9942129604.800000,0,114820026.350000,0,0,0
002115.SZ,20240829,20230630,6572025454.900000,0,70900954.390000,0,0,0
002115.SZ,20240427,20230331,3394235709.100000,0,29651339.970000,0,0,0
002115.SZ,20240427,20221231,10296073339.770000,0,135488655.390000,0,0,0
002115.SZ,20231031,20220930,7419404230.130000,0,97837857.730000,0,0,0
002115.SZ,20230831,20220630,4882451491.610000,0,55025757.880000,0,0,0
002115.SZ,20230429,20220331,2432856523.590000,0,18247535.040000,0,0,0
002115.SZ,20230429,20211231,10263712509.370000,0,-722605332.900000,0,0,0
002115.SZ,20221031,20210930,7753844994.470000,0,48031795.270000,0,0,0
002115.SZ,20220831,20210630,5215874350.770000,0,26838973.110000,0,0,0
002115.SZ,20220430,20210331,2684678570.370000,0,16763081.260000,0,0,0
002115.SZ,20220430,20201231,8738054190.480000,0,2610786.250000,0,0,0
002115.SZ,20211027,20200930,6214922202.640000,0,11633715.140000,0,0,0
002115.SZ,20210831,20200630,3926104311.910000,0,-29760011.770000,0,0,0
002115.SZ,20210430,20200331,1895408255.020000,0,-50821171.860000,0,0,0
002115.SZ,20210430,20191231,5558891021.370000,0,172524612.010000,0,0,0
002115.SZ,20201030,20190930,3499062860.390000,0,167858931.100000,0,0,0
002115.SZ,20200829,20190630,2086843972.160000,0,72090470.140000,0,0,0
002115.SZ,20200429,20190331,1000652071.850000,0,35924405.530000,0,0,0
002115.SZ,20200429,20181231,3553614079.770000,0,228494054.610000,0,0,0
002115.SZ,20191031,20180930,2381332719.940000,0,172196701.600000,0,0,0
002115.SZ,20190830,20180630,1428798534.550000,0,67499475.530000,0,0,0
002115.SZ,20190427,20180331,519927353.360000,0,20007982.200000,0,0,0
002115.SZ,20190427,20171231,1181436651.650000,0,45684860.620000,0,0,0
002115.SZ,20181031,20170930,727394624.930000,0,22056296.680000,0,0,0
002115.SZ,20180830,20170630,451422287.300000,0,20136663.980000,0,0,0
002115.SZ,20180428,20170331,216944477.500000,0,-12774573.040000,0,0,0
002115.SZ,20180417,20161231,988764597.010000,0,25140539.690000,0,0,0
002115.SZ,20171024,20160930,591032474.090000,0,-22336309.040000,0,0,0
002115.SZ,20170823,20160630,377570865.510000,0,-24707644.440000,0,0,0
002115.SZ,20170429,20160331,177172595.580000,0,-15192288.150000,0,0,0
002115.SZ,20170407,20151231,865020141.720000,0,19180299.550000,0,0,0
002115.SZ,20161028,20150930,598821723.960000,0,11202651.600000,0,0,0
002115.SZ,20160824,20150630,395759770.150000,0,6331124.580000,0,0,0
