fs_code,ann_date,report_date,revenue,revenue_yoy,net_profit,net_profit_yoy,gross_margin,roe
601877.SH,20251030,20250930,46396003206.810000,0,5655501864.580000,0,0,0
601877.SH,20250828,20250630,29619195987.420000,0,3433363385.940000,0,0,0
601877.SH,20250430,20250331,14558847305.840000,0,1507573160.200000,0,0,0
601877.SH,20250430,20241231,64519386988.410000,0,5209205392.170000,0,0,0
601877.SH,20251030,20240930,46409439054.630000,0,4614517339.260000,0,0,0
601877.SH,20250828,20240630,28987806087.550000,0,2537324488.520000,0,0,0
601877.SH,20250430,20240331,15916617791.630000,0,1370401199.120000,0,0,0
601877.SH,20250430,20231231,57250814312.460000,0,4948847757.370000,0,0,0
601877.SH,20241031,20230930,42619609715.220000,0,3996129307.070000,0,0,0
601877.SH,20240831,20230630,27850197632.790000,0,2526305278.110000,0,0,0
601877.SH,20240430,20230331,15740786087.190000,0,1554721544.670000,0,0,0
601877.SH,20240430,20221231,45974331286.720000,0,4715000374.580000,0,0,0
601877.SH,20231031,20220930,35021137258.170000,0,3682682613.730000,0,0,0
601877.SH,20230831,20220630,23619104572.130000,0,1963904652.300000,0,0,0
601877.SH,20230429,20220331,10681072042.610000,0,667505360.700000,0,0,0
601877.SH,20230429,20211231,39032520606.970000,0,3731237928.720000,0,0,0
601877.SH,20221029,20210930,28765433020.360000,0,3055106847.270000,0,0,0
601877.SH,20220831,20210630,16240002447.520000,0,1984324388.250000,0,0,0
601877.SH,20220429,20210331,6869484856.980000,0,169146821.880000,0,0,0
601877.SH,20220429,20201231,33253062099.200000,0,6635991549.220000,0,0,0
601877.SH,20211030,20200930,23247094862.300000,0,3200639214.660000,0,0,0
601877.SH,20210827,20200630,14608994831.330000,0,1898097842.410000,0,0,0
601877.SH,20210429,20200331,5698591258.020000,0,360724575.060000,0,0,0
601877.SH,20210429,20191231,30225906278.030000,0,3970704956.300000,0,0,0
601877.SH,20201030,20190930,22477165259.050000,0,2993000129.090000,0,0,0
601877.SH,20200828,20190630,14427540857.480000,0,1866707862.330000,0,0,0
601877.SH,20200429,20190331,5994862908.920000,0,571613931.250000,0,0,0
601877.SH,20200429,20181231,27420832737.520000,0,3761757143.680000,0,0,0
601877.SH,20191025,20180930,19110558169.750000,0,2887765291.620000,0,0,0
601877.SH,20190830,20180630,11902315980.100000,0,1852922651.210000,0,0,0
601877.SH,20190426,20180331,5095142650.890000,0,641754313.160000,0,0,0
601877.SH,20190426,20171231,23416550017.470000,0,2996074317.460000,0,0,0
601877.SH,20181026,20170930,15936585490.810000,0,2065111632.030000,0,0,0
601877.SH,20180817,20170630,9905427837.340000,0,1318236991.300000,0,0,0
601877.SH,20180421,20170331,3980952720.770000,0,386315797.540000,0,0,0
601877.SH,20180421,20161231,20164545252.650000,0,2617931032.290000,0,0,0
601877.SH,20171028,20160930,14202337760.970000,0,1859503448.370000,0,0,0
601877.SH,20170831,20160630,9535724125.880000,0,1204394072.370000,0,0,0
601877.SH,20170424,20160331,3850852154.090000,0,337881847.370000,0,0,0
601877.SH,20170424,20151231,17325601571.580000,0,1941573898.000000,0,0,0
601877.SH,20161024,20150930,8774967409.010000,0,1367692411.080000,0,0,0
601877.SH,20160815,20150630,5589949438.370000,0,849554779.360000,0,0,0
601877.SH,20160422,20150331,2261383751.420000,0,332692961.180000,0,0,0
601877.SH,20160416,20141231,12767230041.150000,0,1967182268.930000,0,0,0
601877.SH,20151030,20140930,9307426262.000000,0,1431226236.200000,0,0,0
601877.SH,20150818,20140630,5849589980.890000,0,880187846.990000,0,0,0
601877.SH,20150429,20140331,2390695057.270000,0,325785081.720000,0,0,0
601877.SH,20150411,20131231,11956507239.130000,0,1691032133.570000,0,0,0
601877.SH,20141025,20130930,8565695458.210000,0,1210872633.520000,0,0,0
601877.SH,20140823,20130630,5414648582.530000,0,731089928.800000,0,0,0
601877.SH,20140426,20130331,2070155415.790000,0,262062540.020000,0,0,0
601877.SH,20140322,20121231,10703163376.130000,0,1401091863.250000,0,0,0
601877.SH,20131030,20120930,7766650075.980000,0,1017362725.200000,0,0,0
601877.SH,20130824,20120630,5026606680.350000,0,623058507.570000,0,0,0
601877.SH,20130424,20120331,2070270399.470000,0,237304118.530000,0,0,0
601877.SH,20130323,20111231,9718671368.000000,0,1014601595.150000,0,0,0
601877.SH,20121025,20110930,7210108467.270000,0,759313785.120000,0,0,0
601877.SH,20120818,20110630,4001898889.120000,0,441729448.350000,0,0,0
601877.SH,20120424,20110331,1644797532.090000,0,182756815.550000,0,0,0
601877.SH,20120303,20101231,6339109735.090000,0,703351333.980000,0,0,0
601877.SH,20111029,20100930,4659762055.430000,0,607682154.760000,0,0,0
601877.SH,20110827,20100630,2841252861.130000,0,397917388.600000,0,0,0
601877.SH,20110420,20100331,1169899767.450000,0,165459809.160000,0,0,0
601877.SH,20110420,20091231,4801517368.370000,0,571967991.880000,0,0,0
601877.SH,20101026,20090930,3528348961.300000,0,518307975.350000,0,0,0
601877.SH,20100819,20090630,2099639179.310000,0,371877228.930000,0,0,0
601877.SH,20100421,20090331,873850113.410000,0,127409347.790000,0,0,0
601877.SH,20100410,20081231,4442093335.080000,0,436503739.920000,0,0,0
601877.SH,20091231,20071231,4184807996.510000,0,385929838.260000,0,0,0
601877.SH,20091231,20061231,3377159073.380000,0,197586995.350000,0,0,0
