日期,摊薄每股收益(元),加权每股收益(元),每股收益_调整后(元),扣除非经常性损益后的每股收益(元),每股净资产_调整前(元),每股净资产_调整后(元),每股经营性现金流(元),每股资本公积金(元),每股未分配利润(元),调整后的每股净资产(元),总资产利润率(%),主营业务利润率(%),总资产净利润率(%),成本费用利润率(%),营业利润率(%),主营业务成本率(%),销售净利率(%),股本报酬率(%),净资产报酬率(%),资产报酬率(%),销售毛利率(%),三项费用比重,非主营比重,主营利润比重,股息发放率(%),投资收益率(%),主营业务利润(元),净资产收益率(%),加权净资产收益率(%),扣除非经常性损益后的净利润(元),主营业务收入增长率(%),净利润增长率(%),净资产增长率(%),总资产增长率(%),应收账款周转率(次),应收账款周转天数(天),存货周转天数(天),存货周转率(次),固定资产周转率(次),总资产周转率(次),总资产周转天数(天),流动资产周转率(次),流动资产周转天数(天),股东权益周转率(次),流动比率,速动比率,现金比率(%),利息支付倍数,长期债务与营运资金比率(%),股东权益比率(%),长期负债比率(%),股东权益与固定资产比率(%),负债与所有者权益比率(%),长期资产与长期资金比率(%),资本化比率(%),固定资产净值率(%),资本固定化比率(%),产权比率(%),清算价值比率(%),固定资产比重(%),资产负债率(%),总资产(元),经营现金净流量对销售收入比率(%),资产的经营现金流量回报率(%),经营现金净流量与净利润的比率(%),经营现金净流量对负债比率(%),现金流量比率(%),短期股票投资(元),短期债券投资(元),短期其它经营性投资(元),长期股票投资(元),长期债券投资(元),长期其它经营性投资(元),1年以内应收帐款(元),1-2年以内应收帐款(元),2-3年以内应收帐款(元),3年以内应收帐款(元),1年以内预付货款(元),1-2年以内预付货款(元),2-3年以内预付货款(元),3年以内预付货款(元),1年以内其它应收款(元),1-2年以内其它应收款(元),2-3年以内其它应收款(元),3年以内其它应收款(元)
1900-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-12-31,0.295,,,0.0,,1.177,,,,0.0,6.4972,46.6786,6.4972,4.4568,32.056,50.8676,22.9186,,36.4639,10.4924,49.1324,655.1371,-1.5239,147.8347,0.3827,,51929794.93,25.089,0.0,,,,,,8.7551,41.1189,80.8117,4.4548,0.2835,0.2835,1269.8413,38.249,9.412,0.9852,4.3713,4.1804,139.1435,5425.3951,0.7496,28.7746,42.8488,124.6733,207.8367,36.1377,59.8251,85.2442,89.9511,207.8367,165.6534,23.08,59.8042,392429165.33,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,
1992-12-31,0.5645,,,,2.7742,2.58,,0.8491,0.6466,,14.5914,46.5532,15.0166,63.1192,38.6417,50.444,28.7732,78.5385,28.31,20.3023,49.556,7.6721,-0.1658,120.6736,0.0955,0.0,98205501.93,26.8,,,89.6214,138.0603,164.1868,6.0026,8.8982,40.4576,54.0882,6.6558,2.0009,0.5219,689.7873,0.9092,395.9525,1.0259,1.4719,1.3081,41.1889,-376.3006,0.0,71.7141,0.0,248.0029,39.4426,81.3879,0.0,83.5077,81.3879,39.4426,350.4238,28.9166,28.2859,415984977.77,,,,,,,,,77140248.9,0.0,0.0,,,,,,,,,,,,
1993-12-31,0.8952,,,,4.3964,4.13,,2.2762,0.6004,,15.8498,45.9483,22.9623,69.951,41.2697,50.1648,37.4919,106.8336,24.3002,18.9147,49.8352,4.9961,0.2707,111.2428,0.0,0.6426,212361595.36,26.3,,,119.0887,185.4763,185.252,162.8113,9.9742,36.0931,128.9814,2.7911,3.3736,0.6125,587.7551,0.9534,377.596,0.8043,3.683,3.0038,126.0322,-636.2283,0.045,77.8375,2.386,553.6434,28.4727,33.8592,2.9742,82.1018,34.8971,28.4727,449.7539,14.0591,22.1625,1093255496.83,,,,,,,,,33618125.19,0.0,0.0,,,,,,,,,,,,
1994-06-30,0.3906,,,0.0,3.6503,3.313,,0.0,0.0,0.0,8.1756,100.0,8.5632,,42.8756,0.0,40.3543,39.0564,10.6996,8.1756,,0.0,0.0,233.2327,0.0,0.0,243532989.06,10.1,0.0,,,,,,8.4027,21.4217,,0.0,1.1058,0.2122,848.2564,0.297,606.0606,0.2753,3.2774,3.2774,0.0,,0.0,76.4106,0.0,320.3019,30.8719,38.9998,0.0,,38.9998,28.032,466.8665,23.8558,23.5894,1202063975.63,,,,,,,,,36810061.43,0.0,0.0,,,,,,,,,,,,
1994-12-31,0.7766,,,0.0,3.9661,3.7,,1.7512,0.6423,0.0,14.5025,36.6652,16.0126,42.7744,27.7077,62.1783,29.097,97.3279,24.5398,18.1762,37.8217,9.8323,12.1833,117.153,0.0,6.9212,246229734.92,18.62,0.0,,45.3049,12.7691,17.2768,23.245,8.4792,42.4568,210.3049,1.7118,2.8634,0.5503,654.1886,0.7908,455.2352,0.7264,2.8196,1.7538,99.5768,-733.2164,0.0494,74.0682,2.1362,316.4552,35.0107,43.3664,2.8032,86.4337,44.6172,34.9432,385.1567,23.4056,25.9318,1347382872.93,,,,,,,,,9817521.48,0.0,0.0,,,,,,,,,,,,
1995-06-30,0.3859,,,0.0,4.2388,4.04,,0.0,0.0,0.0,6.5767,100.0,6.8772,,31.0871,0.0,28.9806,38.5889,9.1038,6.5767,,0.0,0.0,321.6766,0.0,0.0,335050800.26,8.38,0.0,,37.5792,-1.1968,16.1216,22.8237,6.6719,26.9788,,0.0,1.0641,0.2373,758.5335,0.364,494.5055,0.3246,2.4416,2.4416,0.0,,0.0,72.241,0.0,339.2527,38.4255,50.4077,0.0,,50.4077,36.0498,383.9842,21.2942,27.759,1476420035.86,,,,,,,,,16174958.88,0.0,0.0,,,,,,,,,,,,
1995-12-31,0.4988,,,0.0,3.146,2.95,,1.3536,0.0736,0.0,7.2655,33.2332,9.1106,29.8792,20.8445,65.9505,22.959,70.6158,22.446,10.2856,34.0495,15.5163,15.8214,135.1738,0.5012,4.0655,238175837.46,13.85,0.0,,6.7181,-15.7941,3.9876,68.0821,8.4878,42.4138,321.0273,1.1214,2.2577,0.3968,907.2581,0.6391,563.2921,0.7041,2.0235,1.2657,107.2686,-11652.2389,0.2896,45.8239,8.672,324.7934,118.2267,74.879,15.9132,82.368,89.0497,82.7636,252.6701,14.1086,54.1761,2264709853.41,,,,,,,,,42598543.87,0.0,0.0,,,,,,,,,,,,
1996-06-30,0.2397,,,0.0,3.3744,3.22,,1.4557,0.271,0.0,3.267,100.0,3.4649,,27.4759,0.0,24.2589,23.97,7.1036,3.267,,0.0,0.0,363.9555,0.0,0.0,344321005.06,6.25,0.0,,2.7668,-13.9769,10.2464,73.1689,10.0625,17.8882,,0.0,1.0191,0.1428,1260.5042,0.2603,691.5098,0.3111,1.6912,1.6912,0.0,,0.0,45.9916,0.0,330.1086,117.4309,106.4703,0.0,,106.4703,65.6093,331.4028,13.9323,54.0084,2556699691.87,,,,,,,,,43206905.87,0.0,0.0,,,,,,,,,,,,
1996-12-31,0.3938,,,0.0,3.0789,2.78,,1.2484,0.2014,0.0,6.2619,37.5964,6.9787,33.6769,22.4512,61.3058,24.614,59.2813,19.2541,9.4274,38.6942,17.4195,21.5837,139.8575,0.1341,24.2914,272614783.45,11.5,0.0,,1.1761,8.4695,34.4757,25.8536,8.9101,40.4036,443.8964,0.811,2.1485,0.2835,1269.8413,0.5389,668.0275,0.596,1.5005,0.8402,63.6281,-3115820.064,0.7824,48.9632,12.3647,392.5938,104.2349,85.8056,20.1616,79.7566,107.4742,89.7384,220.2247,12.4717,51.0368,2850218871.91,,,,,,,,,39273293.47,0.0,0.0,,,,,,,,,,,,
