fs_code,ann_date,divident_date,cash_div,stock_div,stock_ratio,bonus_ratio
002205.SZ,20220705,20220712,0.1,0.0,0,0.000825763832
002205.SZ,20210702,20210709,0.1,0.0,0,0.001430615165
002205.SZ,20200603,20200610,0.2,6.0,6,0.00138026225
002205.SZ,20180630,20180706,0.42,0.0,0,0.003680981595
002205.SZ,20150604,20150612,1.8,0.0,0,0.00518134715
002205.SZ,20140523,20140530,2.0,0.0,0,0.014295925661
002205.SZ,20130531,20130607,0.5,0.0,0,0.004078303426
002205.SZ,20120621,20120628,0.75,0.0,0,0.005026809651
002205.SZ,20110611,20110617,1.0,0.0,0,0.004448398577
002205.SZ,20100601,20100607,0.1,0.0,0,0.000473036897
002205.SZ,20090515,20090522,0.4,2.5,0,0.002234636872
002205.SZ,20080602,20080606,1.2,0.0,0,0.00736196319
