fs_code,ann_date,divident_date,cash_div,stock_div,stock_ratio,bonus_ratio
600594.SH,20240601,20240607,0.66,0,0,0.021086261981
600594.SH,20210602,20210608,1.3,0,0,0.021959459459
600594.SH,20200827,20200902,3.0,0,0,0.042253521127
600594.SH,20200528,20200603,3.0,0,0,0.050251256281
600594.SH,20180625,20180702,0.5,0,0,0.005580357143
600594.SH,20170712,20170718,0.6,0,0,0.004357298475
600594.SH,20160722,20160728,0.2,0,0,0.001175088132
600594.SH,20150710,20150716,1.2,10,10,0.002225519288
600594.SH,20140708,20140714,1.2,0,0,0.003000750188
600594.SH,20130604,20130613,1.5,0,0,0.005504587156
600594.SH,20120516,20120522,0.8,0,0,0.004714201532
600594.SH,20101011,20101015,0.3,5,3,0.001298701299
600594.SH,20100610,20100621,1.0,0,0,0.005133470226
600594.SH,20080627,20080703,1.5,3,3,0.016816143498
600594.SH,20070911,20070917,0.0,5,5,0.0
600594.SH,20060530,20060605,1.15,5,5,0.006030414263
600594.SH,20050603,20050609,1.25,2,2,0.008778089888
