fs_code,ann_date,report_date,eps,roe,gross_margin,netprofit_margin,current_ratio,quick_ratio,debt_to_assets
002414.SZ,202510,20250930,0.1363,8.78,18.9682160077,5.8868882928,0,0,34.2308729759
002414.SZ,202508,20250630,0.0424,2.82,9.3538249523,1.8852358602,0,0,34.4970421205
002414.SZ,202504,20250331,0.0196,1.31,12.2724486722,0.8831792776,0,0,33.7413422501
002414.SZ,202504,20241231,-0.1047,-6.83,-16.7011186865,-5.0080239472,0,0,31.5282788571
002414.SZ,202410,20240930,0.0118,0.74,2.7704679808,0.5537813743,0,0,28.3755970883
002414.SZ,202408,20240630,0.0042,0.26,1.5629538973,0.2062571993,0,0,23.1088951041
002414.SZ,202404,20240331,0.002,0.12,1.7914408848,0.0962631709,0,0,22.6176437618
002414.SZ,202404,20231231,0.0159,0.98,2.8481036859,0.7853618007,0,0,21.3095186292
002414.SZ,202310,20230930,0.0669,4.02,17.7752356614,3.243965523,0,0,20.3905158579
002414.SZ,202308,20230630,0.0486,2.91,19.4701191544,2.3521036416,0,0,19.3160618438
002414.SZ,202304,20230331,0.0148,0.89,14.3239276875,0.7180361464,0,0,18.0425310081
002414.SZ,202304,20221231,0.1178,6.94,19.9019421919,5.5443585384,0,0,19.9064624661
002414.SZ,202210,20220930,0.1234,7.07,30.6821766887,5.8776288059,0,0,19.522508297
002414.SZ,202208,20220630,0.0883,4.96,30.6700120748,4.241577474,0,0,16.3162694667
002414.SZ,202204,20220331,0.0949,4.05,42.0605836506,3.3649854169,0,0,14.8342705758
002414.SZ,202204,20211231,0.3423,17.46,31.7678012548,14.2551859614,0,0,17.981824537
002414.SZ,202110,20210930,0.2798,14.85,37.6241605349,12.3373630171,0,0,13.9004912543
002414.SZ,202108,20210630,0.2114,12.56,37.6010673884,9.437916478,0,0,14.6101323706
002414.SZ,202104,20210331,0.107,5.33,36.3341258515,3.6775956789,0,0,30.7669675128
002414.SZ,202104,20201231,0.4491,25.46,30.0228567308,18.7575754278,0,0,31.3326528047
002414.SZ,202010,20200930,0.3572,20.66,41.1099833013,15.2170714343,0,0,32.3517161864
002414.SZ,202008,20200630,0.2325,13.76,44.0517685406,10.5014675158,0,0,30.1197173708
002414.SZ,202004,20200331,0.0998,4.4,35.2262595542,3.3528326578,0,0,28.2121498016
002414.SZ,202004,20191231,0.1386,6.43,13.4704697276,5.0513084715,0,0,18.4390410819
002414.SZ,201910,20190930,0.1474,6.75,22.1769981977,5.4149875724,0,0,15.818783545
002414.SZ,201908,20190630,0.0939,4.35,22.426159063,3.5078691863,0,0,15.0035977337
002414.SZ,201904,20190331,0.0064,0.18,3.3728749376,0.1403775483,0,0,17.7673650547
002414.SZ,201903,20181231,0.1408,3.93,12.1633890329,3.0916928118,0,0,23.4806320729
002414.SZ,201810,20180930,0.1034,2.89,19.0166275361,2.2177012534,0,0,26.4055264146
002414.SZ,201808,20180630,0.1097,3.07,31.024816398,2.3687943815,0,0,25.3626536759
