fs_code,ann_date,report_date,eps,roe,gross_margin,netprofit_margin,current_ratio,quick_ratio,debt_to_assets
601890.SH,202510,20250930,0.2202,5.66,14.1695001887,4.0513469124,0,0,29.1836564985
601890.SH,202508,20250630,0.1194,3.11,11.9839464883,2.2368165347,0,0,28.0314378834
601890.SH,202504,20250331,0.0547,1.44,9.0196742998,0.9907213292,0,0,28.5739546812
601890.SH,202504,20241231,0.294,7.97,14.5142719442,5.6624484505,0,0,27.9129048953
601890.SH,202410,20240930,0.2013,5.4,13.4660544063,3.9386623503,0,0,27.3262073022
601890.SH,202408,20240630,0.1446,3.91,15.1260802196,2.829557291,0,0,28.4752438231
601890.SH,202404,20240331,0.0709,1.95,15.3324410021,1.4128646309,0,0,24.1036056903
601890.SH,202404,20231231,0.247,7.06,12.138879739,4.925681549,0,0,26.3596334039
601890.SH,202310,20230930,0.1832,5.26,11.8621360443,3.6891921435,0,0,28.4833906053
601890.SH,202308,20230630,0.1143,3.31,11.1261151194,2.4289868066,0,0,26.6961956036
601890.SH,202304,20230331,0.0615,1.38,12.2505313314,1.2891615775,0,0,27.0643985789
601890.SH,202304,20221231,0.155,4.66,10.0218768897,3.4729581957,0,0,27.3203603124
601890.SH,202210,20220930,0.1004,3.01,9.24714267,2.3222874192,0,0,24.6565621818
601890.SH,202208,20220630,0.0608,1.84,8.9116769221,1.4107917154,0,0,22.9363210847
601890.SH,202204,20220331,0.0277,0.83,7.4658581553,0.6373149504,0,0,21.3968712043
601890.SH,202204,20211231,0.126,3.91,9.1850925234,2.9688025289,0,0,21.6742882629
601890.SH,202110,20210930,0.1017,3.15,9.7050429339,2.4295478261,0,0,20.524517591
601890.SH,202108,20210630,0.072,2.24,9.2316464109,1.7159750701,0,0,21.6617129234
601890.SH,202104,20210331,0.0336,1.05,7.1939896114,0.8062156172,0,0,20.2885628553
601890.SH,202104,20201231,0.091,2.88,8.039566914,2.2500993052,0,0,21.8384474355
601890.SH,202010,20200930,0.0705,2.23,8.1833360495,1.7338456323,0,0,22.5730588733
601890.SH,202008,20200630,0.0425,1.35,7.553570723,1.0586738886,0,0,22.264524851
601890.SH,202004,20200331,0.02,0.65,7.0377037978,0.5179504217,0,0,21.6254976592
601890.SH,202004,20191231,0.094,3.05,7.011943516,2.3471298479,0,0,20.7551512082
601890.SH,201910,20190930,0.0729,2.38,7.3151187761,1.8109094183,0,0,22.4539681423
