date,open,close,high,low,volume,amount
2024-09-18,5.22,5.18,5.28,5.1,32325,16712761.11
2024-09-19,5.18,5.23,5.26,5.16,42362,22101996.54
2024-09-20,5.23,5.17,5.24,5.13,32497,16858661.74
2024-09-23,5.15,5.17,5.19,5.14,22560,11658952.01
2024-09-24,5.2,5.36,5.36,5.19,61943,32741990.27
2024-09-25,5.42,5.37,5.49,5.36,64501,34993635.0
2024-09-26,5.36,5.5,5.5,5.34,60662,33031020.95
2024-09-27,5.57,5.68,5.75,5.52,107893,60852953.98
2024-09-30,5.81,6.1,6.16,5.7,381186,225918844.17
2024-10-08,6.67,6.39,6.69,6.03,430894,274520081.3
2024-10-09,6.24,5.87,6.24,5.86,222378,134712512.17
2024-10-10,5.95,5.97,6.1,5.85,134066,80272825.16
2024-10-11,5.97,5.87,5.97,5.8,93180,54862550.4
2024-10-14,5.9,5.93,5.98,5.81,92302,54464536.69
2024-10-15,5.93,5.85,5.96,5.83,99994,58759946.13
2024-10-16,5.8,5.73,5.85,5.68,103554,59669173.21
2024-10-17,5.76,5.66,5.84,5.66,97783,56148642.07
2024-10-18,5.66,5.69,5.74,5.6,146511,83342288.04
2024-10-21,5.73,5.63,5.75,5.58,156334,88511137.2
2024-10-22,5.63,5.73,5.73,5.63,102225,58145595.65
2024-10-23,5.74,5.7,5.83,5.68,170807,98166817.7
2024-10-24,5.69,5.65,5.7,5.63,106605,60323838.83
2024-10-25,5.67,5.79,5.79,5.65,156320,89466056.38
2024-10-28,5.8,5.9,5.92,5.8,257976,151572794.03
2024-10-29,5.92,5.74,5.94,5.7,182707,106292128.73
2024-10-30,5.72,5.76,5.81,5.68,128121,73580449.84
2024-10-31,5.75,5.7,5.78,5.65,229247,131140094.09
2024-11-01,5.7,5.6,5.73,5.58,200486,113143190.78
2024-11-04,5.6,5.73,5.73,5.58,128927,73306452.54
2024-11-05,5.73,5.88,5.92,5.69,217042,126483304.14
2024-11-06,5.89,5.96,6.05,5.82,229388,135968304.12
2024-11-07,6.04,6.11,6.15,6.02,266193,162145820.1
2024-11-08,6.11,5.98,6.15,5.95,217527,131486126.13
