industry,net_inflow,net_inflow_ratio,change_rate
电池,4048690688.0,0,0.93
电池化学品,2931532544.0,0,1.94
锂电池,1199246592.0,0,1.02
能源金属,1120620464.0,0,2.89
锂,1060302912.0,0,4.35
化学制品,553951008.0,0,-0.7
塑料,457077456.0,0,-0.98
合成树脂,424598803.0,0,-1.66
其他化学制品,400500592.0,0,-0.46
其他自动化设备,398308544.0,0,-0.67
油服工程,243732800.0,0,0.37
小家电,224759472.0,0,0.47
钾肥,224678848.0,0,-0.71
其他专业工程,216953088.0,0,-1.47
印刷包装机械,210660180.0,0,-0.6
油田服务,188888736.0,0,-0.27
其他化学原料,179021648.0,0,-0.14
民爆制品,178854096.0,0,0.55
氟化工,178412096.0,0,-0.02
锂电专用设备,170399456.0,0,-0.74
轨交设备Ⅲ,164394720.0,0,-1.17
轨交设备Ⅱ,164394720.0,0,-1.17
原料药,162719792.0,0,0.22
厨房小家电,147644779.0,0,0.35
门户网站,142067808.0,0,-1.41
分立器件,139647664.0,0,-1.66
运动服装,131588775.0,0,-0.15
品牌消费电子,119067728.0,0,-1.23
油气开采Ⅲ,110577328.0,0,2.19
油气开采Ⅱ,110577328.0,0,2.19
清洁小家电,93522252.0,0,1.18
定制家居,87584631.0,0,-0.86
机器人,81464770.0,0,-1.41
逆变器,68296256.0,0,-0.85
贸易Ⅲ,66857870.0,0,-0.87
贸易Ⅱ,66857870.0,0,-0.87
石油石化,58955216.0,0,0.17
油气及炼化工程,54844048.0,0,1.22
镍,54829312.0,0,-1.47
其他小金属,46346528.0,0,-1.63
其他塑料制品,43764896.0,0,-1.04
塑料包装,39105920.0,0,1.96
动力煤,37357536.0,0,0.06
国有大型银行Ⅲ,34326560.0,0,0.43
农药,33033137.0,0,-0.95
农用机械,31099511.0,0,-0.43
焦炭Ⅲ,28812544.0,0,-0.46
焦炭Ⅱ,28812544.0,0,-0.46
家电零部件Ⅲ,23867664.0,0,-1.13
家电零部件Ⅱ,23867664.0,0,-1.13
其他石化,23179023.0,0,-0.04
综合包装,23084001.0,0,0.56
物业管理,17558556.0,0,-0.24
线下药店,15600100.0,0,-0.96
快递,15180670.0,0,1.68
熟食,12492941.0,0,0.35
改性塑料,11260123.0,0,-0.31
端到端供应链服务,10557364.0,0,-1.16
聚氨酯,7754032.0,0,-1.39
会展服务,5801823.0,0,-1.51
钴,5488096.0,0,-0.73
房地产综合服务,4452608.0,0,-0.6
炭黑,4016695.0,0,-0.71
化妆品制造及其他,2942960.0,0,-0.08
其他专业服务,2771581.0,0,-0.56
涂料,2747200.0,0,-1.03
涂料油墨,1232822.0,0,-1.24
其他饰品,589582.0,0,-1.92
印染,78497.0,0,-1.06
人工景区,18801.0,0,-0.27
卫浴制品,-529930.0,0,-0.52
纺织鞋类制造,-855241.0,0,-1.32
宠物食品,-1398346.0,0,-1.9
辅料,-1804313.0,0,-1.05
肉鸡养殖,-2318133.0,0,0.49
医美服务,-2724666.0,0,-1.55
氨纶,-2913854.0,0,1.81
洗护用品,-3603501.0,0,0.36
棉纺,-3945837.0,0,-1.8
粮食种植,-4877482.0,0,0.88
其他养殖,-5325739.0,0,-1.76
人力资源服务,-5583750.0,0,-1.53
管材,-5647338.0,0,-1.05
耐火材料,-6244071.0,0,-1.3
服装家纺,-6287984.0,0,-0.73
学历教育,-6588738.0,0,-2.28
肉制品,-6696526.0,0,-0.28
其他家电Ⅲ,-6760943.0,0,-0.94
其他家电Ⅱ,-6760943.0,0,-0.94
燃料电池,-6988581.0,0,-1.62
汽车综合服务,-8016978.0,0,-1.1
农业综合Ⅲ,-8226075.0,0,-0.81
农业综合Ⅱ,-8226075.0,0,-0.81
工程机械器件,-8387042.0,0,-1.05
水产养殖,-8533116.0,0,1.18
汽车经销商,-10312374.0,0,-0.79
综合电商,-10369502.0,0,-0.21
餐饮,-10780928.0,0,-0.9
仓储物流,-10996492.0,0,0.17
其他建材Ⅲ,-11223359.0,0,-1.34
