序号,行业,行业指数,行业-涨跌幅,流入资金,流出资金,净额,公司家数,领涨股,领涨股-涨跌幅,当前价
1,通信设备,8769.0,4.28,315.97,267.93,48.04,89,阿莱德,20.01,43.79
2,通信服务,3138.24,4.23,92.29,82.25,10.04,44,光环新网,20.03,18.58
3,贵金属,5878.37,3.82,74.48,72.96,1.52,12,赤峰黄金,7.12,38.69
4,电力,2305.72,3.61,234.59,199.37,35.22,106,中闽能源,10.07,7.54
5,电子化学品,60392.2,3.23,32.13,27.36,4.78,42,莱特光电,11.76,39.81
6,其他电子,18755.3,3.16,38.75,30.76,7.99,34,商络电子,12.18,19.9
7,元件,17152.3,3.15,114.45,93.09,21.36,60,超颖电子,10.0,88.3
8,半导体,12935.3,3.11,322.66,267.91,54.75,173,炬光科技,14.8,347.0
9,教育,4756.89,2.98,4.46,2.5,1.96,16,科德教育,9.31,19.38
10,机场航运,2009.61,2.82,10.87,6.54,4.33,13,吉祥航空,6.61,11.62
11,IT服务,13868.1,2.81,97.06,76.04,21.01,127,博睿数据,15.2,97.67
12,非金属材料,29002.7,2.8,5.5,4.14,1.35,13,坤彩科技,6.37,25.9
13,消费电子,11589.2,2.69,125.63,91.16,34.46,98,利通电子,10.0,62.68
14,自动化设备,26319.1,2.68,68.43,54.26,14.17,92,罗博特科,8.2,373.5
15,金属新材料,13978.2,2.5,9.23,7.68,1.55,32,新莱福,5.39,54.97
16,环境治理,4458.81,2.45,30.76,25.39,5.37,111,中兰环保,7.26,25.85
17,游戏,9935.38,2.44,23.66,19.91,3.75,24,昆仑万维,6.7,51.59
18,工程机械,3298.77,2.35,15.64,12.09,3.55,36,厦工股份,10.0,4.29
19,通用设备,9177.3,2.29,74.3,62.7,11.6,250,海川智能,11.27,68.89
20,文化传媒,2887.72,2.23,30.17,24.41,5.76,85,出版传媒,10.01,8.02
21,工业金属,4322.52,2.2,77.89,76.81,1.07,56,丽岛新材,6.74,13.14
22,电网设备,7487.14,2.19,103.22,102.03,1.19,139,杭电股份,9.99,22.8
23,塑料制品,10170.9,2.15,23.41,20.22,3.19,79,国风新材,10.0,10.34
24,黑色家电,4240.57,2.13,4.15,3.1,1.05,9,兆驰股份,4.57,9.84
25,建筑装饰,4599.85,2.13,70.59,59.65,10.95,150,柏诚股份,10.01,19.35
26,小金属,8702.88,2.11,98.34,87.05,11.29,28,云南锗业,6.05,47.36
27,综合,2571.53,2.09,17.63,14.18,3.45,17,东阳光,5.71,31.45
28,环保设备,1464.19,2.04,12.25,10.64,1.61,29,法尔胜,7.35,13.73
29,纺织制造,2386.23,2.03,3.64,3.44,0.19,32,联发股份,6.06,14.0
30,汽车零部件,6572.34,1.98,72.72,58.26,14.47,266,众捷汽车,7.94,40.5
31,化学纤维,4132.71,1.98,16.5,14.34,2.15,28,江南高纤,4.76,2.42
32,轨交设备,1111.01,1.97,3.75,2.82,0.94,30,朗进科技,9.91,30.6
33,光学光电子,5221.61,1.96,67.58,64.91,2.67,109,视涯科技,117.77,49.39
34,软件开发,2193.06,1.95,62.7,55.93,6.77,138,海量数据,6.29,19.93
35,医疗服务,17584.7,1.92,21.33,20.33,1.01,54,华康洁净,9.94,52.1
36,建筑材料,5948.64,1.91,24.55,20.83,3.72,73,再升科技,9.99,12.22
37,旅游及酒店,3271.32,1.91,5.24,4.06,1.18,35,桂林旅游,5.37,7.07
38,电机,3532.96,1.9,8.42,7.09,1.33,25,康平科技,3.46,29.27
39,互联网电商,8280.47,1.89,3.66,3.34,0.32,19,狮头股份,9.97,12.91
40,服装家纺,3025.13,1.86,8.94,8.09,0.85,76,歌力思,10.03,10.42
41,专用设备,7838.85,1.84,55.34,48.38,6.96,196,江顺科技,10.0,147.29
42,计算机设备,4212.58,1.84,47.54,37.68,9.87,83,协创数据,9.33,226.8
43,军工电子,13627.9,1.83,47.85,46.26,1.59,63,宏明电子,96.18,136.66
44,能源金属,32881.1,1.83,30.85,32.83,-1.98,13,融捷股份,10.0,64.46
45,白色家电,7862.81,1.79,22.29,20.03,2.26,43,康盛股份,9.81,4.59
46,其他电源设备,6795.55,1.77,35.1,29.2,5.9,33,欧陆通,5.54,248.22
47,美容护理,5378.34,1.73,5.03,3.63,1.4,32,延江股份,20.0,27.78
48,石油加工贸易,3854.52,1.71,18.53,16.49,2.04,28,润贝航科,8.62,46.98
49,化学制品,7355.68,1.7,44.85,44.47,0.38,176,宏柏新材,10.01,11.21
50,种植业与林业,4717.28,1.69,11.63,8.42,3.21,30,农发种业,3.45,7.79
51,种植业与林业,4716.84,1.68,11.52,8.26,3.27,30,农发种业,3.32,7.78
52,农产品加工,4067.89,1.67,6.91,6.4,0.5,43,路德科技,8.28,21.59
53,影视院线,1471.23,1.62,6.46,5.08,1.38,20,华智数媒,3.84,7.84
54,包装印刷,4689.82,1.57,17.34,16.7,0.64,47,珠海中富,5.8,4.01
55,家居用品,4430.82,1.55,9.44,8.24,1.2,97,舒华体育,9.98,17.74
56,公路铁路运输,1396.7,1.52,5.98,4.34,1.64,32,铁龙物流,4.09,6.61
57,贸易,3114.64,1.52,2.95,2.49,0.46,15,苏豪弘业,2.67,10.75
58,食品加工制造,4935.75,1.49,10.33,9.24,1.09,66,西王食品,9.93,3.1
59,军工装备,2455.2,1.46,56.38,56.43,-0.06,82,光电股份,8.01,17.13
60,小家电,4498.33,1.46,1.99,1.91,0.09,25,倍轻松,7.0,26.43
61,医疗器械,11671.5,1.43,25.72,22.66,3.06,138,宝莱特,8.02,14.15
62,物流,5678.87,1.43,8.13,6.44,1.69,50,中国铁物,10.14,3.04
63,其他社会服务,20467.6,1.4,10.08,8.99,1.09,76,中体产业,8.52,11.08
64,饮料制造,4979.06,1.38,4.54,4.18,0.36,46,均瑶健康,5.38,6.66
65,化学制药,6333.12,1.38,34.69,34.88,-0.19,157,美诺华,9.99,32.38
66,农化制品,5549.59,1.38,40.22,41.44,-1.22,62,中旗股份,5.8,6.2
67,钢铁,1810.27,1.34,21.85,18.91,2.94,43,马钢股份,3.79,3.83
68,房地产,1823.93,1.34,18.36,15.8,2.56,89,ST数源,5.0,5.67
69,风电设备,5970.34,1.33,39.69,36.04,3.65,31,飞沃科技,3.92,163.25
70,养殖业,2988.32,1.32,10.41,8.08,2.33,38,福成股份,3.74,5.55
71,汽车整车,3147.46,1.29,22.34,26.4,-4.06,23,中集车辆,6.04,8.96
72,造纸,2264.46,1.27,3.86,3.45,0.41,24,冠豪高新,3.57,3.48
73,港口航运,1279.03,1.26,22.46,24.35,-1.89,36,秦港股份,4.48,3.73
74,保险,2176.53,1.19,9.45,8.58,0.87,5,中国太保,1.86,38.29
75,生物制品,6220.76,1.1,9.29,8.74,0.56,55,万泽股份,4.53,41.53
76,中药,3262.14,1.06,9.12,7.99,1.13,69,万邦德,8.64,21.5
77,汽车服务及其他,1158.46,1.0,4.79,4.69,0.1,25,春风动力,3.69,235.38
78,零售,1993.85,0.95,10.17,9.15,1.01,72,天音控股,3.87,10.2
79,多元金融,1223.37,0.83,15.76,16.56,-0.8,26,四川双马,3.93,24.59
80,化学原料,3538.01,0.78,29.95,33.57,-3.62,59,三孚股份,9.99,24.44
81,医药商业,4908.33,0.78,2.72,2.73,-0.01,32,益丰药房,2.54,24.27
82,电池,20035.2,0.75,103.15,115.85,-12.71,103,维科技术,8.32,10.16
83,证券,1460.0,0.75,30.12,27.34,2.77,50,华泰证券,2.77,18.95
84,白酒,2325.5,0.23,10.53,11.18,-0.65,20,皇台酒业,1.49,14.31
