code,trade_date,open_price,high_price,low_price,close_price,volume,amount,adjust_factor,turnover_rate,market,adjustment,data_source,created_at,updated_at
002392.SZ,2025-03-26,4.92,5.01,4.92,5.0,82034.0,40779865.0,1.0,0.982,sz,none,baostock,2026-03-26 23:25:55.107479,2026-03-26 23:25:55.107481
002392.SZ,2025-03-27,5.08,5.08,4.95,5.07,158332.0,79686317.0,1.0,1.8954,sz,none,baostock,2026-03-26 23:25:55.107516,2026-03-26 23:25:55.107516
002392.SZ,2025-03-28,5.03,5.06,4.93,4.97,110162.0,54887398.0,1.0,1.3188,sz,none,baostock,2026-03-26 23:25:55.107529,2026-03-26 23:25:55.107529
002392.SZ,2025-03-31,4.94,4.95,4.81,4.86,124902.0,60708438.0,1.0,1.4952,sz,none,baostock,2026-03-26 23:25:55.107539,2026-03-26 23:25:55.107539
002392.SZ,2025-04-01,4.86,5.02,4.84,4.98,134334.0,66663999.0,1.0,1.6081,sz,none,baostock,2026-03-26 23:25:55.107549,2026-03-26 23:25:55.107549
002392.SZ,2025-04-02,4.97,5.03,4.94,5.0,73496.0,36684450.0,1.0,0.8798,sz,none,baostock,2026-03-26 23:25:55.107558,2026-03-26 23:25:55.107558
002392.SZ,2025-04-03,4.95,5.03,4.91,5.01,78271.0,39073558.0,1.0,0.937,sz,none,baostock,2026-03-26 23:25:55.107566,2026-03-26 23:25:55.107567
002392.SZ,2025-04-07,4.78,4.8,4.51,4.51,180170.0,82745736.42,1.0,2.1568,sz,none,baostock,2026-03-26 23:25:55.107576,2026-03-26 23:25:55.107576
002392.SZ,2025-04-08,4.51,4.62,4.33,4.43,233363.43,103651610.06,1.0,2.7936,sz,none,baostock,2026-03-26 23:25:55.107584,2026-03-26 23:25:55.107584
002392.SZ,2025-04-09,4.4,4.54,4.08,4.49,160697.93,69391039.54,1.0,1.9237,sz,none,baostock,2026-03-26 23:25:55.107592,2026-03-26 23:25:55.107592
002392.SZ,2025-04-10,4.53,4.73,4.53,4.58,141148.0,65271102.0,1.0,1.6897,sz,none,baostock,2026-03-26 23:25:55.107600,2026-03-26 23:25:55.107601
002392.SZ,2025-04-11,4.57,4.72,4.55,4.66,103015.5,47853597.0,1.0,1.2332,sz,none,baostock,2026-03-26 23:25:55.107609,2026-03-26 23:25:55.107609
002392.SZ,2025-04-14,4.75,4.97,4.7,4.93,161382.0,78830026.0,1.0,1.9319,sz,none,baostock,2026-03-26 23:25:55.107617,2026-03-26 23:25:55.107618
