date,open,close,high,low,volume,amount
2024-09-18,1224.56,1191.46,1224.57,1191.22,46185,5895948011.0
2024-09-19,1186.56,1185.56,1217.44,1170.39,59988,7623739997.0
2024-09-20,1186.06,1188.48,1198.46,1174.59,39982,5038507835.0
2024-09-23,1192.56,1186.1,1218.06,1185.22,45550,5809791682.0
2024-09-24,1209.65,1297.16,1297.56,1189.65,100413,13297277523.0
2024-09-25,1324.61,1323.56,1351.56,1321.27,73954,10420109655.0
2024-09-26,1324.52,1453.56,1454.43,1320.56,97278,14269262657.0
2024-09-27,1524.56,1553.76,1553.76,1489.92,87922,14050260569.0
2024-09-30,1616.56,1672.56,1684.44,1576.56,157293,26982747037.0
2024-10-08,1834.56,1647.56,1834.56,1604.74,194709,35114075007.0
2024-10-09,1624.56,1519.71,1624.56,1514.56,120197,19708432734.0
2024-10-10,1546.82,1564.56,1592.64,1515.56,74603,12198964035.0
2024-10-11,1539.96,1529.55,1564.52,1514.56,41915,6764982707.0
2024-10-14,1537.56,1526.55,1545.19,1505.73,44812,7181350822.0
2024-10-15,1523.56,1478.81,1525.55,1477.57,43571,6884141869.0
2024-10-16,1465.44,1447.06,1474.36,1434.56,46664,7140169692.0
2024-10-17,1461.56,1419.16,1462.22,1417.97,39460,5964778958.0
2024-10-18,1417.56,1465.56,1492.4,1403.52,68619,10418043492.0
2024-10-21,1465.77,1453.36,1474.53,1445.77,42008,6433918335.0
2024-10-22,1451.12,1467.56,1484.74,1448.76,36269,5607826492.0
2024-10-23,1468.67,1492.06,1501.51,1456.56,40088,6259600035.0
2024-10-24,1485.56,1476.76,1499.56,1469.57,23923,3723973209.0
2024-10-25,1471.56,1483.41,1499.35,1470.57,27745,4328271351.0
2024-10-28,1484.56,1489.56,1489.56,1446.79,39121,6064453668.0
2024-10-29,1484.56,1456.18,1504.56,1454.56,41166,6368105233.0
2024-10-30,1449.56,1456.56,1475.75,1447.97,32006,4913175983.0
2024-10-31,1456.71,1452.35,1464.56,1444.56,29957,4575545180.0
2024-11-01,1445.56,1458.31,1469.69,1445.36,32284,4954302212.0
2024-11-04,1469.49,1472.76,1474.56,1452.62,29093,4481761764.0
2024-11-05,1464.56,1501.55,1502.26,1460.57,45640,7134443464.0
2024-11-06,1499.56,1495.56,1513.55,1485.78,37631,5916917616.0
2024-11-07,1487.02,1573.7,1578.06,1486.86,74739,12074951757.0
2024-11-08,1585.45,1534.53,1591.67,1525.57,60771,9885645907.0
2024-11-11,1514.56,1522.57,1534.51,1491.75,43854,6957095385.0
2024-11-12,1513.56,1501.76,1547.56,1498.51,49223,7844798676.0
2024-11-13,1492.56,1503.06,1511.22,1485.84,29125,4594445032.0
2024-11-14,1494.56,1498.36,1519.01,1490.21,29248,4617144097.0
2024-11-15,1493.56,1483.56,1508.36,1477.56,33761,5295326892.0
2024-11-18,1486.56,1483.56,1500.55,1479.56,27092,4237197499.0
2024-11-19,1489.56,1466.48,1493.93,1449.56,33266,5138831155.0
2024-11-20,1467.56,1469.37,1478.53,1455.86,21345,3292675257.0
2024-11-21,1468.43,1469.69,1473.55,1456.56,18262,2810933515.0
2024-11-22,1465.71,1432.38,1472.33,1432.38,33436,5107288992.0
2024-11-25,1435.56,1423.13,1456.56,1421.23,33186,5011136234.0
2024-11-26,1423.13,1433.56,1443.44,1413.44,25745,3876885984.0
2024-11-27,1433.56,1443.61,1446.71,1429.56,25934,3927607772.0
2024-11-28,1446.56,1442.56,1449.55,1426.56,23952,3627662382.0
2024-11-29,1441.56,1450.3,1479.56,1437.77,36088,5534035503.0
2024-12-02,1450.56,1449.56,1454.55,1439.66,26820,4086609952.0
2024-12-03,1448.56,1451.3,1453.46,1440.64,24807,3777197199.0
2024-12-04,1444.63,1444.56,1448.22,1434.56,23924,3626565544.0
2024-12-05,1435.42,1435.56,1442.42,1434.56,16141,2441318387.0
2024-12-06,1437.56,1445.57,1463.46,1432.63,32040,4883148600.0
2024-12-09,1446.58,1443.36,1454.28,1437.76,19800,3008173586.0
2024-12-10,1494.56,1471.15,1504.29,1469.74,60312,9421340719.0
2024-12-11,1464.56,1460.16,1479.56,1455.54,29671,4569662604.0
2024-12-12,1456.58,1490.36,1490.56,1453.56,41937,6510547810.0
2024-12-13,1474.57,1443.56,1479.55,1443.44,49512,7580908315.0
2024-12-16,1445.56,1451.76,1453.56,1435.27,32537,4945298799.0
2024-12-17,1450.55,1482.56,1493.56,1445.57,54172,8398945449.0
2024-12-18,1482.53,1496.06,1501.56,1471.66,41162,6440801971.0
2024-12-19,1489.7,1475.57,1492.49,1474.89,24809,3862602665.0
2024-12-20,1479.57,1470.44,1490.24,1468.46,28158,4307425535.0
2024-12-23,1471.44,1474.89,1486.44,1465.44,21603,3300971424.0
2024-12-24,1473.44,1487.26,1492.44,1470.03,22105,3394160299.0
2024-12-25,1487.24,1478.44,1487.24,1474.54,17123,2621061878.0
2024-12-26,1482.44,1476.23,1487.22,1471.44,18287,2798840003.0
2024-12-27,1477.34,1477.41,1484.44,1467.94,20759,3170191445.0
2024-12-30,1482.41,1473.44,1492.4,1473.44,25130,3849542646.0
2024-12-31,1473.84,1472.44,1493.44,1470.45,39354,6033540366.0
2025-01-02,1472.44,1436.44,1472.93,1428.44,50029,7490883773.0
2025-01-03,1442.94,1423.44,1443.43,1415.45,32628,4836610288.0
2025-01-06,1401.44,1388.44,1411.1,1381.24,44255,6392479712.0
2025-01-07,1393.1,1388.64,1400.33,1387.44,24221,3494634227.0
2025-01-08,1388.44,1390.94,1400.26,1375.1,35258,5071821246.0
2025-01-09,1397.43,1392.44,1413.02,1381.42,29706,4295852736.0
2025-01-10,1395.54,1384.44,1400.39,1384.44,21872,3154677598.0
2025-01-13,1373.44,1392.42,1392.88,1370.45,21083,3030806870.0
2025-01-14,1393.39,1420.94,1427.12,1390.44,30957,4535651504.0
2025-01-15,1415.44,1419.71,1423.04,1408.45,18399,2701518712.0
2025-01-16,1422.44,1394.82,1431.1,1390.44,26342,3840411437.0
2025-01-17,1394.83,1403.19,1409.44,1394.82,18309,2663227309.0
2025-01-20,1409.44,1423.24,1438.23,1408.44,31410,4647626351.0
2025-01-21,1429.44,1416.59,1430.44,1413.44,16856,2481821229.0
2025-01-22,1411.71,1389.44,1416.39,1386.44,28294,4088101682.0
2025-01-23,1398.41,1391.44,1416.44,1386.44,27125,3932700850.0
2025-01-24,1390.44,1384.44,1396.23,1378.75,31360,4515322685.0
2025-01-27,1385.44,1383.43,1392.41,1375.46,29356,4213534543.0
2025-02-05,1388.44,1352.24,1391.44,1350.65,40757,5753730034.0
2025-02-06,1348.45,1361.28,1370.43,1348.45,27356,3859568163.0
2025-02-07,1362.12,1384.44,1391.12,1351.85,37242,5310850624.0
2025-02-10,1386.44,1379.95,1388.44,1375.53,20840,2988101756.0
2025-02-11,1383.39,1366.44,1384.4,1364.34,23573,3348668867.0
2025-02-12,1366.44,1391.44,1393.44,1365.32,25476,3644170477.0
2025-02-13,1391.46,1413.5,1423.69,1382.95,43385,6335985851.0
2025-02-14,1413.5,1423.44,1425.44,1406.66,27100,3978694098.0
2025-02-17,1429.44,1420.06,1443.42,1415.54,32471,4804663813.0
2025-02-18,1418.44,1423.44,1441.43,1410.52,27800,4113845397.0
2025-02-19,1423.49,1439.44,1442.88,1413.34,32393,4803378441.0
2025-02-20,1431.44,1422.44,1440.41,1421.83,23750,3513552984.0
2025-02-21,1428.44,1436.65,1445.17,1421.45,36418,5418169587.0
2025-02-24,1436.44,1427.51,1447.96,1422.44,34744,5157907322.0
2025-02-25,1418.45,1402.44,1421.83,1400.44,28387,4142814459.0
2025-02-26,1403.89,1408.45,1413.4,1393.44,26366,3835949041.0
2025-02-27,1408.46,1434.0,1438.34,1402.44,49762,7368002361.0
2025-02-28,1433.94,1449.23,1476.82,1430.44,56129,8475738166.0
2025-03-03,1451.04,1435.46,1469.43,1429.94,31596,4736679903.0
2025-03-04,1433.44,1418.55,1434.44,1413.65,25211,3710675863.0
2025-03-05,1420.44,1414.81,1422.44,1408.54,24605,3606932152.0
2025-03-06,1422.44,1454.42,1458.64,1420.52,42168,6297117400.0
