fs_code,trade_date,rzye,rqyl,rzje,rqmcl,rzrqye
,20260325,25995.68364269,178.67338131,2062.40361161,11.74555294,26174.357024
,20260324,25964.0936507,171.68938117,1802.67308793,10.67783592,26135.78303186
,20260323,26033.07936533,166.94805686,2101.86468038,9.94927049,26200.02742219
,20260320,26148.19006325,174.57195291,2074.81286858,9.22053611,26322.76201615
,20260319,26322.2769413,178.83627775,1918.69202167,9.91152325,26501.11321905
,20260318,26365.14285912,180.45106346,1925.79203913,8.68813677,26545.59392258
,20260317,26339.73371274,180.48781679,1993.48029262,8.86518949,26520.22152953
,20260316,26429.81166176,183.85403337,2232.92896127,8.19715452,26613.66569513
,20260313,26332.4249563,184.57025299,2185.41149087,8.68879851,26516.99520928
,20260312,26459.29042052,187.18264491,2325.71168221,10.2445424,26646.47306543
,20260311,26426.73254515,185.57952815,2431.95562264,12.35666891,26612.3120733
,20260310,26372.77415902,180.54658168,2341.5351509,8.81882964,26553.3207407
,20260309,26275.05670263,181.1804801,2390.36214799,12.58039123,26456.23718273
,20260306,26276.56029257,178.90651089,2018.31905031,8.33569343,26455.46680346
,20260305,26338.18701545,179.82523583,2281.85669612,13.53731276,26518.01225128
,20260304,26254.78464528,171.87907276,2114.27154723,10.92683189,26426.66371805
,20260303,26337.74107434,175.25469613,2820.56898001,14.58859911,26512.99577048
,20260302,26562.7577427,177.28771245,2796.42644732,12.52285506,26740.04545515
,20260227,26518.39712602,173.39991387,2428.88917392,8.85270909,26691.79703989
,20260226,26499.52501791,170.73678634,2561.61613162,10.97392121,26670.26180425
,20260225,26298.84411112,167.2902232,2465.84378011,8.7410029,26466.13433432
,20260224,26062.47888065,164.97487244,2270.06184191,11.17254952,26227.45375309
,20260213,25723.61330282,157.54495229,1791.67503108,6.66619126,25881.15825511
,20260212,26293.20094149,162.73458169,2156.94965435,4.63468265,26455.93552319
,20260211,26278.07665393,166.1943076,1800.10177182,6.26678851,26444.27096153
,20260210,26437.25945137,167.4243821,1920.10576274,6.47470469,26604.68383347
,20260209,26475.54276122,168.40583653,2159.46582662,7.31184664,26643.94859775
,20260206,26470.32185388,166.36721112,1902.71141391,8.93126648,26636.689065
,20260205,26640.5363964,167.9157929,1983.76692335,9.74909727,26808.45218929
,20260204,26758.85192503,169.83177144,2242.60558813,11.04492493,26928.68369647
,20260203,26898.27369304,167.12487049,2443.35597777,10.42659163,27065.39856352
,20260202,26926.64497337,164.19140795,2418.66450068,13.69983296,27090.83638132
,20260130,26986.4210084,166.08620917,2669.78730912,8.52424091,27152.50721757
,20260129,27221.86609951,171.40781147,3122.75446977,10.20445837,27393.27391099
,20260128,27252.17258843,173.93017594,2955.33921458,7.91370531,27426.10276437
,20260127,27058.63097101,174.96888232,2784.96861068,10.00540459,27233.59985333
,20260126,27079.82607505,174.27963218,3103.6287647,10.44552003,27254.10570722
,20260123,27061.03879348,173.44752681,3027.62692177,7.0891619,27234.48632029
,20260122,27075.07603262,173.8040127,2679.0288737,7.12371214,27248.88004532
,20260121,27036.89681396,174.6189198,2679.24022548,8.75801675,27211.51573376
,20260120,26919.88447209,173.49315772,2634.74125299,10.99763116,27093.37762981
,20260119,27059.0299323,172.46111011,2674.21320179,9.55898176,27231.49104241
,20260116,27144.05974227,170.9721536,3357.09853653,7.82073589,27315.03189587
,20260115,27012.15803422,175.11463503,3170.85754338,9.57922549,27187.27266925
,20260114,26806.04378106,175.95710428,4508.32249755,10.81831593,26982.00088534
,20260113,26653.70819198,176.05939401,4042.98805576,8.54321833,26829.76758599
,20260112,26559.70945537,180.78057542,4263.40169095,8.81692534,26740.49003078
,20260109,26099.20611284,176.69949959,3447.28327536,8.43508627,26275.90561243
,20260108,26031.42603088,174.58450258,3118.69123158,7.36516793,26206.01053346
,20260107,25872.00078356,175.35748739,3304.45478744,7.88709123,26047.35827095
,20260106,25623.05221743,175.95507004,3280.07757069,8.99425158,25799.00728747
,20260105,25434.31435157,172.3094113,2905.52359344,9.74159617,25606.62376288
,20251231,25241.46174935,165.30644059,2178.28272041,6.27688216,25406.76818995
,20251230,25385.18278729,167.62986576,2294.05144141,6.19074384,25552.81265306
,20251229,25348.07855626,168.95392653,2293.27393861,7.26053512,25517.03248279
,20251226,25264.289838,168.72208692,2389.88321766,7.60990891,25433.01192492
,20251225,25284.67346836,169.35683354,2198.2811127,5.46260167,25454.03030191
,20251224,25246.92764852,169.65206622,2069.10903691,6.1124151,25416.57971474
,20251223,25145.67132091,169.71822066,2169.53856509,7.30430846,25315.38954157
,20251222,24997.09945718,169.07529047,2024.02396623,6.97374409,25166.17474765
,20251219,24871.24398244,166.98486692,1769.80276104,5.61719307,25038.22884936
,20251218,24825.31539058,168.13087916,1712.24532002,6.62088396,24993.44626974
,20251217,24858.56678519,169.68618095,1843.68020306,9.23228821,25028.25296614
,20251216,24880.91580938,167.2464332,1782.87725948,6.41389972,25048.16224258
,20251215,24885.51166093,170.9970969,1771.55312389,7.16739844,25056.50875782
,20251212,24837.13103897,176.76298952,1948.30764789,6.04336533,25013.89402848
,20251211,24901.28879083,178.39855382,1857.31121227,7.11588477,25079.68734465
,20251210,24963.89775545,178.86715687,1804.31372604,8.62435763,25142.76491232
,20251209,24928.81337906,176.80307721,2024.06812366,7.13979525,25105.61645627
,20251208,24827.28739574,177.76316331,2280.18900606,7.14712854,25005.05055905
,20251205,24640.99171396,175.68930586,1787.58308942,6.94889441,24816.68101982
,20251204,24664.77944611,173.85152537,1539.34878184,6.0820708,24838.63097148
,20251203,24651.79071694,174.06667095,1608.77021688,6.14046532,24825.85738789
,20251202,24688.92648642,175.55306808,1554.56690331,7.19250205,24864.4795545
,20251201,24666.97530888,176.0674666,1915.10205872,9.97926677,24843.04277548
