日期,收盘价,涨跌幅,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比
2025-09-19,11.21,0.36,55775685.0,5.84,84618120.0,8.86,-28842435.0,-3.02,-58787112.0,-6.16,3011421.0,0.32
2025-09-22,11.14,-0.62,-18626204.0,-2.74,-40210271.0,-5.91,21584067.0,3.17,2558466.0,0.38,16067738.0,2.36
2025-09-23,11.28,1.26,56854368.0,3.68,-74126864.0,-4.8,130981232.0,8.49,-13088992.0,-0.85,-43765360.0,-2.84
2025-09-24,11.22,-0.53,36008018.0,2.75,59666066.0,4.55,-23658048.0,-1.81,-72200432.0,-5.51,36192409.0,2.76
2025-09-25,11.16,-0.53,42263864.0,4.79,16340416.0,1.85,25923448.0,2.94,-37583440.0,-4.26,-4680427.0,-0.53
2025-09-26,11.16,0.0,69336876.0,8.09,77870543.0,9.09,-8533667.0,-1.0,-76570442.0,-8.94,7233558.0,0.84
2025-09-29,11.13,-0.27,44260880.0,3.32,38600816.0,2.89,5660064.0,0.42,-91677328.0,-6.87,47416452.0,3.55
2025-09-30,11.1,-0.27,-97026831.0,-10.3,-38571178.0,-4.09,-58455653.0,-6.2,43315333.0,4.6,53711496.0,5.7
2025-10-09,11.16,0.54,1215360.0,0.1,31147856.0,2.62,-29932496.0,-2.52,5051888.0,0.43,-6267241.0,-0.53
2025-10-10,11.19,0.27,-43287584.0,-3.48,801248.0,0.06,-44088832.0,-3.54,16624320.0,1.34,26663284.0,2.14
2025-10-13,11.16,-0.27,-26595601.0,-2.0,-14601297.0,-1.1,-11994304.0,-0.9,11631472.0,0.88,14964112.0,1.13
2025-10-14,11.33,1.52,-38190512.0,-1.8,-9932576.0,-0.47,-28257936.0,-1.33,50875728.0,2.4,-12685216.0,-0.6
2025-10-15,11.4,0.62,86517936.0,5.99,115064816.0,7.97,-28546880.0,-1.98,-81598976.0,-5.65,-4918966.0,-0.34
2025-10-16,11.54,1.23,22305104.0,1.54,9961376.0,0.69,12343728.0,0.85,3624160.0,0.25,-25929252.0,-1.79
2025-10-17,11.4,-1.21,-123351297.0,-10.34,-126228209.0,-10.58,2876912.0,0.24,50812512.0,4.26,72538788.0,6.08
2025-10-20,11.42,0.18,-52079159.0,-4.81,11508153.0,1.06,-63587312.0,-5.88,12118144.0,1.12,39961000.0,3.69
2025-10-21,11.43,0.09,-10430108.0,-1.2,11568677.0,1.33,-21998785.0,-2.53,-3181670.0,-0.37,13611779.0,1.57
2025-10-22,11.52,0.79,-23536651.0,-2.46,-9735562.0,-1.02,-13801089.0,-1.44,17815776.0,1.86,5720889.0,0.6
2025-10-23,11.63,0.95,114833904.0,7.21,124109552.0,7.79,-9275648.0,-0.58,-53489200.0,-3.36,-61344704.0,-3.85
2025-10-24,11.56,-0.6,-123228214.0,-10.83,-102065638.0,-8.97,-21162576.0,-1.86,67052848.0,5.89,56175365.0,4.94
2025-10-27,11.52,-0.35,-117493568.0,-8.23,-6611152.0,-0.46,-110882416.0,-7.76,48206528.0,3.38,69287048.0,4.85
2025-10-28,11.47,-0.43,-104448539.0,-11.07,-106008277.0,-11.23,1559738.0,0.17,77663085.0,8.23,26785446.0,2.84
2025-10-29,11.39,-0.7,-17157633.0,-1.56,25269505.0,2.3,-42427138.0,-3.85,-45220912.0,-4.11,62378548.0,5.67
2025-10-30,11.38,-0.09,-16055917.0,-1.49,-47652397.0,-4.42,31596480.0,2.93,22556336.0,2.09,-6500427.0,-0.6
2025-10-31,11.32,-0.53,-28123610.0,-2.56,22151562.0,2.02,-50275172.0,-4.57,-1732752.0,-0.16,29856365.0,2.72
2025-11-03,11.43,0.97,62891094.0,5.8,36970422.0,3.41,25920672.0,2.39,-56320640.0,-5.19,-6570449.0,-0.61
2025-11-04,11.59,1.4,293811216.0,16.91,287308336.0,16.54,6502880.0,0.37,-128795680.0,-7.41,-165015541.0,-9.5
2025-11-05,11.52,-0.6,-29268622.0,-3.19,10014194.0,1.09,-39282816.0,-4.28,-26957852.0,-2.94,56226484.0,6.12
2025-11-06,11.51,-0.09,-87509216.0,-9.91,-112246920.0,-12.71,24737704.0,2.8,32027426.0,3.63,55481787.0,6.28
2025-11-07,11.55,0.35,-12530704.0,-1.48,11649672.0,1.37,-24180376.0,-2.85,1596865.0,0.19,10933840.0,1.29
2025-11-10,11.63,0.69,92129120.0,9.62,81803408.0,8.54,10325712.0,1.08,-70608174.0,-7.37,-21520952.0,-2.25
2025-11-11,11.67,0.34,111703729.0,10.81,134449696.0,13.01,-22745967.0,-2.2,-60498733.0,-5.85,-51205006.0,-4.96
2025-11-12,11.68,0.09,113022848.0,8.45,57399504.0,4.29,55623344.0,4.16,-41103680.0,-3.07,-71919176.0,-5.38
2025-11-13,11.7,0.17,39625808.0,3.48,68953904.0,6.05,-29328096.0,-2.57,-31556638.0,-2.77,-8069178.0,-0.71
2025-11-14,11.75,0.43,128244752.0,8.26,194619136.0,12.54,-66374384.0,-4.28,-102424528.0,-6.6,-25820235.0,-1.66
2025-11-17,11.67,-0.68,-3160272.0,-0.27,65834656.0,5.67,-68994928.0,-5.94,-15813280.0,-1.36,18973548.0,1.63
2025-11-18,11.59,-0.69,-134104330.0,-17.22,-106266673.0,-13.64,-27837657.0,-3.57,42098490.0,5.4,92005840.0,11.81
2025-11-19,11.8,1.81,187106880.0,11.95,313523744.0,20.03,-126416864.0,-8.08,-127937232.0,-8.17,-59169650.0,-3.78
2025-11-20,11.85,0.42,139516864.0,7.16,146550784.0,7.52,-7033920.0,-0.36,-140751984.0,-7.22,1235120.0,0.06
2025-11-21,11.69,-1.35,-126847888.0,-7.37,-57451856.0,-3.34,-69396032.0,-4.03,3172016.0,0.18,123675856.0,7.18
2025-11-24,11.6,-0.77,90381443.0,6.94,134848723.0,10.35,-44467280.0,-3.41,-34906240.0,-2.68,-55475200.0,-4.26
2025-11-25,11.8,1.72,159077834.0,13.21,152144618.0,12.64,6933216.0,0.58,-135495992.0,-11.25,-23581839.0,-1.96
2025-11-26,11.69,-0.93,-69667724.0,-7.23,-101402949.0,-10.53,31735225.0,3.3,35785270.0,3.72,33882453.0,3.52
2025-11-27,11.71,0.17,37532800.0,3.19,60698112.0,5.15,-23165312.0,-1.97,-3568675.0,-0.3,-33964125.0,-2.88
2025-11-28,11.61,-0.85,30633310.0,2.98,29349169.0,2.86,1284141.0,0.12,1112229.0,0.11,-31745532.0,-3.09
2025-12-01,11.69,0.69,-19745312.0,-1.64,-34420624.0,-2.86,14675312.0,1.22,-18026176.0,-1.5,37771469.0,3.13
2025-12-02,11.64,-0.43,-126894559.0,-14.18,-161243551.0,-18.02,34348992.0,3.84,66445453.0,7.43,60449115.0,6.76
2025-12-03,11.55,-0.77,-112219929.0,-10.21,-144544745.0,-13.15,32324816.0,2.94,53180672.0,4.84,59039247.0,5.37
2025-12-04,11.49,-0.52,30190832.0,2.96,-21717713.0,-2.13,51908545.0,5.09,56528058.0,5.55,-86718886.0,-8.51
2025-12-05,11.53,0.35,-83695948.0,-8.19,-55530444.0,-5.43,-28165504.0,-2.76,50881599.0,4.98,32814353.0,3.21
2025-12-08,11.52,-0.09,-40985228.0,-4.15,-81410722.0,-8.24,40425494.0,4.09,18249640.0,1.85,22735591.0,2.3
2025-12-09,11.43,-0.78,-117205435.0,-13.91,-110053896.0,-13.06,-7151539.0,-0.85,105180878.0,12.48,12024566.0,1.43
2025-12-10,11.33,-0.87,-171636485.0,-14.5,-167728149.0,-14.17,-3908336.0,-0.33,105768720.0,8.93,65867749.0,5.56
2025-12-11,11.37,0.35,10072281.0,0.96,-31770695.0,-3.03,41842976.0,3.99,-66372222.0,-6.32,56299944.0,5.36
2025-12-12,11.35,-0.18,205716512.0,15.15,27769888.0,2.05,177946624.0,13.11,-171352928.0,-12.62,-34363584.0,-2.53
