股票代码,股票名称,申万行业,细分行业
600519,贵州茅台,食品饮料,白酒
000858,五粮液,食品饮料,白酒
000568,泸州老窖,食品饮料,白酒
002304,洋河股份,食品饮料,白酒
600809,山西汾酒,食品饮料,白酒
603259,药明康德,医药生物,医疗服务
600276,恒瑞医药,医药生物,化学制药
300015,爱尔眼科,医药生物,医疗服务
300760,迈瑞医疗,医药生物,医疗器械
000001,平安银行,银行,股份制银行
600036,招商银行,银行,股份制银行
601166,兴业银行,银行,股份制银行
601318,中国平安,非银金融,保险
600030,中信证券,非银金融,证券
300059,东方财富,非银金融,证券
000002,万科A,房地产,房地产开发
600438,通威股份,电力设备,光伏
601012,隆基绿能,电力设备,光伏
300274,阳光电源,电力设备,光伏
688981,中芯国际,电子,半导体
002475,立讯精密,电子,消费电子
000333,美的集团,家用电器,白电
000651,格力电器,家用电器,白电
002594,比亚迪,汽车,新能源汽车
300750,宁德时代,电力设备,电池
002841,视源股份,电子,消费电子
688111,金山办公,计算机,软件
600887,伊利股份,食品饮料,乳制品
601888,中国中免,社会服务,旅游零售
900000,通信设备,通信,设备
900001,半导体,电子,芯片
900002,新能源,电力设备,综合
900003,军工,国防军工,航空装备
900004,房地产,房地产,开发
900005,银行,银行,综合
900006,医药,医药生物,综合
900007,消费,消费,综合
900008,科技,科技,综合
900009,金融,金融,综合
