code,trade_date,open_price,high_price,low_price,close_price,volume,amount,adjust_factor,turnover_rate,market,adjustment,data_source,created_at,updated_at
000725.SZ,2025-03-26,4.23,4.25,4.21,4.22,2357396.0,996594678.68,1.0,0.95,sz,none,eastmoney,2026-03-26 17:18:39.576262,2026-03-26 17:18:39.576263
000725.SZ,2025-03-27,4.21,4.24,4.19,4.21,2916321.0,1228497608.1,1.0,1.18,sz,none,eastmoney,2026-03-26 17:18:39.576296,2026-03-26 17:18:39.576296
000725.SZ,2025-03-28,4.21,4.22,4.18,4.21,2513279.0,1055213719.68,1.0,0.95,sz,none,eastmoney,2026-03-26 17:18:39.576307,2026-03-26 17:18:39.576307
000725.SZ,2025-03-31,4.2,4.21,4.14,4.15,3440480.0,1434752782.73,1.0,1.66,sz,none,eastmoney,2026-03-26 17:18:39.576316,2026-03-26 17:18:39.576317
000725.SZ,2025-04-01,4.16,4.21,4.16,4.2,2849254.0,1193922892.7,1.0,1.2,sz,none,eastmoney,2026-03-26 17:18:39.576325,2026-03-26 17:18:39.576325
000725.SZ,2025-04-02,4.2,4.22,4.18,4.21,2182328.0,917505802.04,1.0,0.95,sz,none,eastmoney,2026-03-26 17:18:39.576333,2026-03-26 17:18:39.576333
000725.SZ,2025-04-03,4.18,4.2,4.13,4.16,3211699.0,1336103601.69,1.0,1.66,sz,none,eastmoney,2026-03-26 17:18:39.576342,2026-03-26 17:18:39.576342
000725.SZ,2025-04-07,3.93,3.93,3.74,3.74,8060229.0,3058154322.03,1.0,4.57,sz,none,eastmoney,2026-03-26 17:18:39.576349,2026-03-26 17:18:39.576350
000725.SZ,2025-04-08,3.73,3.78,3.7,3.74,7146265.0,2666295661.23,1.0,2.14,sz,none,eastmoney,2026-03-26 17:18:39.576357,2026-03-26 17:18:39.576357
000725.SZ,2025-04-09,3.7,3.76,3.64,3.73,7018122.0,2599428908.91,1.0,3.21,sz,none,eastmoney,2026-03-26 17:18:39.576365,2026-03-26 17:18:39.576366
000725.SZ,2025-04-10,3.83,3.86,3.79,3.79,5964413.0,2277439519.83,1.0,1.88,sz,none,eastmoney,2026-03-26 17:18:39.576374,2026-03-26 17:18:39.576374
000725.SZ,2025-04-11,3.76,3.79,3.73,3.76,5463040.0,2056021691.47,1.0,1.58,sz,none,eastmoney,2026-03-26 17:18:39.576381,2026-03-26 17:18:39.576382
000725.SZ,2025-04-14,3.86,3.89,3.8,3.8,6888630.0,2645141668.66,1.0,2.39,sz,none,eastmoney,2026-03-26 17:18:39.576390,2026-03-26 17:18:39.576390
000725.SZ,2025-04-15,3.79,3.8,3.73,3.78,4316487.0,1622881147.98,1.0,1.84,sz,none,eastmoney,2026-03-26 17:18:39.576398,2026-03-26 17:18:39.576398
000725.SZ,2025-04-16,3.81,3.83,3.76,3.81,4333293.0,1642865848.31,1.0,1.85,sz,none,eastmoney,2026-03-26 17:18:39.576406,2026-03-26 17:18:39.576406
000725.SZ,2025-04-17,3.79,3.83,3.78,3.81,3284249.0,1251943484.6,1.0,1.31,sz,none,eastmoney,2026-03-26 17:18:39.576414,2026-03-26 17:18:39.576414
000725.SZ,2025-04-18,3.8,3.84,3.8,3.82,2700297.0,1031151661.4,1.0,1.05,sz,none,eastmoney,2026-03-26 17:18:39.576422,2026-03-26 17:18:39.576422
000725.SZ,2025-04-21,3.83,3.84,3.81,3.83,2573607.0,984210283.26,1.0,0.79,sz,none,eastmoney,2026-03-26 17:18:39.576430,2026-03-26 17:18:39.576430
000725.SZ,2025-04-22,3.88,3.89,3.83,3.84,4759985.0,1838044564.27,1.0,1.57,sz,none,eastmoney,2026-03-26 17:18:39.576438,2026-03-26 17:18:39.576438
000725.SZ,2025-04-23,3.86,3.88,3.82,3.83,3876554.0,1488357886.2,1.0,1.56,sz,none,eastmoney,2026-03-26 17:18:39.576446,2026-03-26 17:18:39.576446
000725.SZ,2025-04-24,3.83,3.84,3.8,3.8,2777660.0,1060297150.0,1.0,1.04,sz,none,eastmoney,2026-03-26 17:18:39.576454,2026-03-26 17:18:39.576454
000725.SZ,2025-04-25,3.81,3.87,3.8,3.86,4236532.0,1629144838.95,1.0,1.84,sz,none,eastmoney,2026-03-26 17:18:39.576461,2026-03-26 17:18:39.576462
