code,trade_date,open_price,high_price,low_price,close_price,volume,amount,adjust_factor,turnover_rate,market,adjustment,data_source,created_at,updated_at
603899.SH,2025-03-26,29.3,30.3,28.92,30.13,104257.3,310674531.97,1.0,1.1285,sh,none,baostock,2026-03-26 17:25:00.842870,2026-03-26 17:25:00.842871
603899.SH,2025-03-27,30.09,31.2,29.82,31.04,107399.8,329077812.63,1.0,1.1626,sh,none,baostock,2026-03-26 17:25:00.842910,2026-03-26 17:25:00.842910
603899.SH,2025-03-28,30.83,31.08,30.32,30.68,59694.64,183400761.83,1.0,0.6462,sh,none,baostock,2026-03-26 17:25:00.842968,2026-03-26 17:25:00.842968
603899.SH,2025-03-31,30.61,31.34,30.26,30.59,50427.58,155063723.51,1.0,0.5459,sh,none,baostock,2026-03-26 17:25:00.842978,2026-03-26 17:25:00.842978
603899.SH,2025-04-01,30.59,32.41,30.58,31.81,113037.01,357155332.09,1.0,1.2236,sh,none,baostock,2026-03-26 17:25:00.842988,2026-03-26 17:25:00.842988
603899.SH,2025-04-02,32.5,33.08,31.49,31.64,99904.25,320446381.78,1.0,1.0814,sh,none,baostock,2026-03-26 17:25:00.842996,2026-03-26 17:25:00.842997
603899.SH,2025-04-03,31.5,32.2,31.22,31.6,73645.62,234037950.81,1.0,0.7972,sh,none,baostock,2026-03-26 17:25:00.843004,2026-03-26 17:25:00.843004
603899.SH,2025-04-07,29.5,30.45,28.44,28.44,124693.35,367055675.75,1.0,1.3497,sh,none,baostock,2026-03-26 17:25:00.843012,2026-03-26 17:25:00.843012
603899.SH,2025-04-08,28.52,29.8,28.52,29.56,90264.69,265435821.57,1.0,0.9771,sh,none,baostock,2026-03-26 17:25:00.843020,2026-03-26 17:25:00.843020
603899.SH,2025-04-09,29.31,30.37,28.72,29.93,60208.13,178652467.82,1.0,0.6517,sh,none,baostock,2026-03-26 17:25:00.843028,2026-03-26 17:25:00.843028
603899.SH,2025-04-10,30.41,31.24,30.0,30.85,61746.0,189270851.42,1.0,0.6684,sh,none,baostock,2026-03-26 17:25:00.843036,2026-03-26 17:25:00.843036
603899.SH,2025-04-11,30.58,31.03,30.08,30.35,51644.07,157347205.51,1.0,0.559,sh,none,baostock,2026-03-26 17:25:00.843044,2026-03-26 17:25:00.843044
603899.SH,2025-04-14,30.39,31.15,30.39,30.55,42286.98,129926343.75,1.0,0.4577,sh,none,baostock,2026-03-26 17:25:00.843052,2026-03-26 17:25:00.843052
603899.SH,2025-04-15,30.55,31.18,30.25,30.59,56955.9,174578920.4,1.0,0.6165,sh,none,baostock,2026-03-26 17:25:00.843060,2026-03-26 17:25:00.843060
603899.SH,2025-04-16,30.59,30.7,29.29,29.87,57060.38,169490123.53,1.0,0.6177,sh,none,baostock,2026-03-26 17:25:00.843068,2026-03-26 17:25:00.843068
603899.SH,2025-04-17,29.58,29.98,29.32,29.65,60970.83,180700600.55,1.0,0.66,sh,none,baostock,2026-03-26 17:25:00.843098,2026-03-26 17:25:00.843098
